book	audio	score	de_sentence	en_sentence
23.reise_um_die_erde_in_80_tagen_1510_librivox	00009-in80tagen_56.flac	0.288095	Nein.	Dorian Gray Is in the studio, sir, said the butler, coming Into the garden.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00029-in80tagen_57.flac	0.288095	Nein.	Dorian Gray Is in the studio, sir, said the butler, coming Into the garden.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00032-in80tagen_54.flac	0.288095	Nein.	Dorian Gray Is in the studio, sir, said the butler, coming Into the garden.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00032-in80tagen_44.flac	0.214286	Niemals.	Never.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00028-in80tagen_105.flac	0.24	Unmöglich	Impossible!
23.reise_um_die_erde_in_80_tagen_1510_librivox	00008-in80tagen_89.flac	0.432353	Warum?	<MERGE> Involuntarily I paused; I did not take my plunge, but returned to my place upon the raft.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_2.flac	0.972302	Man sagte, er gleiche Byron sein Kopf, denn seine Füße waren tadellos, aber ein Byron mit Schnurr und Backenbart, ein Byron mit leidenschaftslosen Zügen, der tausend Jahre alt werden konnte, ohne zu altern.	People said that he resembled Byron, — at least that his head was Byronic; but he was a bearded, tranquil Byron, who might live on a thousand years without growing old.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_3.flac	0.541384	Ein echter Engländer unstreitig, war Phileas Fogg vielleicht kein Londoner.	Certainly an Englishman it was more doubtful whether B AROUND THE WORLD IN EIGHTY DAYS.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_6.flac	0.702175	In keinem Comité der Verwaltung hatte dieser Gentleman einen Platz; nie hörte man seinen Namen in einem AdvocatenColleg, oder im Temple, in Lincoln'sInn oder Grays'Inn.	He was never seen on 'Change, nor at the Bank, nor in the countingrooms of the City; no ships ever came into London docks of which he was the owner; he had no public employment; he had never been entered at any of the Inns of Court, either at the Temple, or Lincoln's Inn, or Gray's Inn; nor had his voice ever resounded in the Court of Chancery, or in the Exchequer, or the Queen's Bench, or the Ecclesiastical Courts.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_7.flac	0.8558819999999999	Er plaidirte niemals, weder beim Obergerichtshof noch bei der Kingsbench, beim Schatzkammergericht oder einem geistlichen Hof.	He certainly was not a manufacturer; nor was he a merchant or a gentleman farmer.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_10.flac	1.61458	Phileas Fogg war Mitglied des Reformclubs, nichts weiter.	Phileas Fogg was a member of the Reform, and that was all.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_11.flac	0.00875	Wundert man sich, daß ein so mysteriöser Gentleman unter den Gliedern dieser ehrenwerthen Gesellschaft zählte, so dient zur Antwort, daß er auf Empfehlung des Hauses Gebr. Baring, wo er sein Geld angelegt hatte, Aufnahme fand.	The way in which he got admission to this exclusive club was simple enough. ~~~ He was recommended by the Barings, with whom he had an open credit.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_12.flac	0.465789	Daher ein gewisses Ansehen, welches er dem Umstand verdankte, daß von dem Soll seines ContoCorrents seine Wechsel bei Sicht pünktlich gezahlt wurden.	His checks were regularly paid at sight from his account current, which was always flush.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_14.flac	0.275	Unstreitig.	Undoubtedly.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_15.flac	0.799723	Aber wie er sich dies Vermögen gemacht, konnten die Bestunterrichteten nicht sagen, und Herr Fogg war der Letzte, an den man sich wenden durfte, um es zu erfahren.	But those who AROUND THE WORLD IX EIGHTY DAYS. knew him best could not imagine how he had made his fortune, and Mr. Fogg was the last person to whom to apply for the information.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_17.flac	0.221429	Im Allgemeinen war dieser Gentleman sehr wenig mittheilsam.	He was, in short, the least communicative of men.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_25.flac	1.36364	Zuverlässig jedoch war Phileas Fogg seit vielen Jahren nicht aus London hinaus gekommen.	It was at least certain that Phileas Fogg had not absented himself from London for many years.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_34.flac	0.077957	Er frühstückte und speiste zu Mittag im Club, zu chronometrisch bestimmten Stunden, in demselben Saal, an demselben Tische, tractirte niemals einen Collegen, lud nie einen auswärts ein, und kehrte nur zum Schlafen, Punkt zwölf Uhr Nachts, nach Hause, ohne jemals von den wohnlichen Gemächern Gebrauch zu machen, welche der Reformclub für seine Mitglieder zur Verfügung hält.	He breakfasted and dined at the club, at hours mathematically fixed, in the same room, at the same table, never taking his meals with other members, much less bringing a guest with him; and went home at exactly midnight, only to retire at once to bed. ~~~ He never used the cosy chambers which the Reform provides for its favoured members.
23.reise_um_die_erde_in_80_tagen_1510_librivox	00001-in80tagen_35.flac	0.4829270000000001	Von vierundzwanzig Stunden brachte er zehn in seiner Wohnung zu, theils zum Schlafen, theils zur Beschäftigung mit seiner Toilette.	He passed ten hours out of the twentyfour in Saville Row, either in sleep ing or making his toilet.
