book	audio	score	de_sentence	en_sentence
11.burg_von_otranto_1406_librivox	00001-otranto_23.flac	0.683117	Er staunte und traute seinem Gesicht nicht.	He gazed without believing his sight.
11.burg_von_otranto_1406_librivox	00001-otranto_3.flac	0.787671	Manfreds Hausgenossen und Nachbarn bemerkten seine Ungeduld, die Feyer zu vollziehen.	Manfred's impatience for this ceremonial was remarked by his family and neighbours.
11.burg_von_otranto_1406_librivox	00001-otranto_4.flac	0.447748	Jene freylich scheuten seine Strenge, und unterstanden sich daher nicht, ihre Muthmaßungen über diese Eilfertigkeit zu äußern.	The former, indeed, apprehending the severity of their Prince's disposition, did not dare to utter their surmises on this precipitation.
11.burg_von_otranto_1406_librivox	00001-otranto_25.flac	0.18	wo ist mein Sohn?	the helmet! the helmet!
11.burg_von_otranto_1406_librivox	00001-otranto_6.flac	0.30487	Aber sie erhielt nichts zur Antwort, als Vorwürfe über ihre eigne Unfruchtbarkeit, da sie nur einen Erbherrn gebohren habe.	His tenants and subjects were less cautious in their discourses.
11.burg_von_otranto_1406_librivox	00001-otranto_7.flac	0.575651	Vasallen und Unterthanen nahmen sich in ihren Reden minder in Acht: sie schoben diese hastige Vermählung, auf Rechnung der Furcht ihres Fürsten, eine alte Weissagung erfüllt zu sehn, nach welcher es hieß: die Burg und Herrschaft Otranto, sollten dem Geschlecht ihrer gegenwärtigen Einhaber entwendet werden, wenn dem wirklichen Besitzer seine Behausung zu enge würde.	They attributed this hasty wedding to the Prince's dread of seeing accomplished an ancient prophecy, which was said to have pronounced that the castle and lordship of Otranto should pass from the present family, whenever the real owner should be grown too large to inhabit it.
11.burg_von_otranto_1406_librivox	00001-otranto_30.flac	0.5727270000000001	Doch schwieg er länger, als selbst der Kummer schweigen kann.	Yet his silence lasted longer than even grief could occasion.
11.burg_von_otranto_1406_librivox	00001-otranto_8.flac	0.819125	Es war schwer in dieser Weissagung einen Sinn zu finden; und noch schwerer zu begreifen, was sie mit der vorseyenden Vermählung für eine Verbindung habe.	It was difficult to make any sense of this prophecy; and still less easy to conceive what it had to do with the marriage in question.
11.burg_von_otranto_1406_librivox	00001-otranto_9.flac	0.462794	Doch blieb das Volk, dieses Räthsels oder Widerspruchs ohngeachtet, nicht minder fest auf seiner Meinung.	Yet these mysteries, or contradictions, did not make the populace adhere the less to their opinion.
11.burg_von_otranto_1406_librivox	00001-otranto_11.flac	0.5925	Die Gesellschaft befand sich in der Burgcapelle versammelt, und alles zur priesterlichen Einsegnung bereit, als man Corrado selbst vermißte.	The company was assembled in the chapel of the Castle, and everything ready for beginning the divine office, when Conrad himself was missing.
11.burg_von_otranto_1406_librivox	00001-otranto_33.flac	0.4641770000000001	Man trug den entstellten Leichnam in die Halle, ohne darüber im geringsten Manfreds Befehl zu erhalten.	All who had known his partial fondness for young Conrad, were as much surprised at their Prince's insensibility, as thunderstruck themselves at the miracle of the helmet.
11.burg_von_otranto_1406_librivox	00001-otranto_12.flac	0.751695	Manfred konnte keinen Verzug ertragen, er hatte nicht bemerkt daß sein Sohn sich entferne, und sandte einen seiner Begleiter den jungen Fürsten herbeyzurufen.	Manfred, impatient of the least delay, and who had not observed his son retire, despatched one of his attendants to summon the young Prince.
11.burg_von_otranto_1406_librivox	00001-otranto_35.flac	0.264706	Die ersten Worte aus seinem Munde waren: Sorgt für Fräulein	As little was he attentive to the ladies who remained in the chapel.
11.burg_von_otranto_1406_librivox	00001-otranto_14.flac	0.958333	Er sprach kein Wort, und zeigte auf den Hof.	He said nothing, but pointed to the court.
11.burg_von_otranto_1406_librivox	00001-otranto_15.flac	1.1501700000000001	Die Gesellschaft ergrif Schauder und Entsetzen.	The company were struck with terror and amazement.
11.burg_von_otranto_1406_librivox	00001-otranto_39.flac	0.583654	Man brachte sie in ihr Schlafzimmer mehr todt als lebendig, und gleichgültig gegen alles seltsame das man ihr hinterbrachte, ausgenommen gegen den Verlust ihres Sohnes.	They conveyed her to her chamber more dead than alive, and indifferent to all the strange circumstances she heard, except the death of her son.
11.burg_von_otranto_1406_librivox	00001-otranto_17.flac	0.864342	Manfred, minder besorgt, als aufgebracht über die Verzögerung der Trauung, und die Albernheit seines Bedienten, fragte gebieterisch, was es gäbe?	Manfred, less apprehensive than enraged at the procrastination of the nuptials, and at the folly of his domestic, asked imperiously what was the matter?
11.burg_von_otranto_1406_librivox	00001-otranto_43.flac	0.8526610000000001	Corrado's Tod that ihr weiter nicht leid, als weil er schmerzlich war; und es durfte ihr nicht unangenehm seyn, einer Heyrath entbunden zu werden, die ihr wenig Glückseligkeit versprach, sowohl in Ansehung des Mannes den man ihr bestimmte, als in Rücksicht auf Manfreds strenge Stimmung, der trotz der großen Nachsicht, wodurch er sie auszeichnete, ihre Seele mit Schrecken erfüllte, indem er ohne Veranlassung gegen so liebenswürdige Fürstinnen, als Hippolite und Mathilde, hart war.	She felt no concern for the death of young Conrad, except commiseration; and she was not sorry to be delivered from a marriage which had promised her little felicity, either from her destined bridegroom, or from the severe temper of Manfred, who, though he had distinguished her by great indulgence, had imprinted her mind with terror, from his causeless rigour to such amiable princesses as Hippolita and Matilda.
11.burg_von_otranto_1406_librivox	00001-otranto_20.flac	0.728182	Endlich ward Manfred bestürzt als sein Sohn nicht erschien, und ging selbst, um der Ursache dieser seltsamen Verwirrung nachzuforschen.	Manfred, who began to be alarmed at not seeing his son, went himself to get information of what occasioned this strange confusion.
11.burg_von_otranto_1406_librivox	00001-otranto_46.flac	0.613462	Niemand konnte darüber die geringste Auskunft geben.	Nobody could give him the least information.
11.burg_von_otranto_1406_librivox	00001-otranto_22.flac	0.616798	Was Manfreds Augen zuerst auffiel, war ein Kreis seiner Bedienten, die etwas in die Höhe zu heben sich bemühten, das einem Berge schwarzer Federn ähnlich sah.	The first thing that struck Manfred's eyes was a group of his servants endeavouring to raise something that appeared to him a mountain of sable plumes.
11.burg_von_otranto_1406_librivox	00001-otranto_24.flac	0.882353	Was treibt ihr da? rief Manfred wütend:	What are ye doing? cried Manfred, wrathfully; where is my son?
11.burg_von_otranto_1406_librivox	00001-otranto_48.flac	0.47778999999999994	Mitten unter ihrem unvernünftigen Rathen, bemerkte ein junger Bauer aus einem benachbarten Dorf, den der Lärmen herbeygelockt hatte, der wunderbare Helm sehe dem außerordentlich ähnlich, welchen die schwarze marmorne Bildsäule ihres hochseligen Fürsten Alfonso des Guten, in der San Nicola Kirche trage.	In the midst of their senseless guesses, a young peasant, whom rumour had drawn thither from a neighbouring village, observed that the miraculous helmet was exactly like that on the figure in black marble of Alfonso the Good, one of their former princes, in the church of St. Nicholas.
