book	audio	score	de_sentence	en_sentence
13.chancellor_1006_librivox	00005-chancellor_9.flac	1.74	Warum	Why ?
13.chancellor_1006_librivox	00001-chancellor_4.flac	0.41068699999999997	Um vier Uhr passirt unser Schiff die enge Einfahrt, durch die bei sinkendem Wasser eine schnelle Strömung fluthet.	Fort Sumter ere long is doubled, the sweeping batteries of the mainland on our left are soon passed, and by four o'clock the rapid current of the ebbing tide has carried us through the harbourmouth.
13.chancellor_1006_librivox	00001-chancellor_5.flac	0.619091	Von hier aus ist die eigentliche offene See freilich noch ziemlich weit entfernt und nur durch enge gefährliche Wasserstraßen zwischen ausgedehnten Sandbänken zu erreichen.	But as yet we have not reached the open sea; we have still to thread our way through the narrow channels which the surge has hollowed out amongst the sandbanks.
13.chancellor_1006_librivox	00001-chancellor_19.flac	0.568367	Es ist übrigens recht bequem eingerichtet, und bei günstigem Wind und Meere, wobei die Schnelligkeit die der Dampfer fast erreicht , ziehe ich es nach allen Seiten hin vor, mit einem Segelschiff zu reisen.	There was something about the Chancellor that pleased me, and a kind of involuntary impulse took me on board, where I found the internal arrangements perfectly comfortable.
13.chancellor_1006_librivox	00001-chancellor_25.flac	0.744731	Ich will meine Beobachtungen tagtäglich notiren, und jetzt, da ich schreibe, weiß ich selbst noch nicht mehr als die Leser dieses Tagebuchs, wenn dasselbe überhaupt jemals Leser findet.	However, I will begin to record the incidents of our daily experience, dubious as I feel whether the lines of my chronicle will ever find a reader.
13.chancellor_1006_librivox	00002-chancellor_2.flac	0.483621	Er ist ein Schotte aus Dundee, gegen fünfzig Jahre alt und macht den Eindruck eines erfahrenen Oceanschiffers.	He is a Scotchman, a native of Dundee, and is about fifty years of age.
13.chancellor_1006_librivox	00002-chancellor_4.flac	0.7511220000000001	Ohne Physiognomiker ersten Ranges zu sein, glaube ich schon, trotzdem ich Kapitän Huntly erst seit wenigen Stunden kenne, ein Urtheil über denselben abgeben zu können.	I do not pretend to be much of a physiognomist, but I am inclined to believe that my few hours' acquaintance with our captain has given me considerable insight into his character.
13.chancellor_1006_librivox	00002-chancellor_9.flac	0.420854	Wenn ich nicht irre, befindet sich aber zwischen Gott und Silas Huntly noch ein Anderer an Bord, der gegebenen Falls eine hervorragende Stelle einzunehmen bestimmt scheint, das ist der zweite Officier des Chancellor, den ich noch nicht genügend studirt habe und von dem zu sprechen ich mir für später vorbehalte.	I have hitherto, however, had such little opportunity of observing his character, that I must defer saying more about him at present.
13.chancellor_1006_librivox	00004-chancellor_7.flac	-0.06	Der Franzose, Mr. Letourneur, und ich, wir plaudern häufiger mit einander.	A vacant seat at our table is now very rare; we are beginning to know something about each other, and our daily life, in consequence, is becoming somewhat less monotonous.
13.chancellor_1006_librivox	00004-chancellor_10.flac	0.598193	Offenbar trägt dieser Mann eine nie versiegende Quelle der Traurigkeit mit sich herum, was man an seinem herabgekommenen Körper und dem häufig auf die Brust niedersinkenden Kopfe leicht erkennt.	To say the truth, he looks older than he really is: his drooping head, his dejected manner, and his eye, ever and again suffused with tears, indicate that he is haunted by some deep and abiding sorrow.
13.chancellor_1006_librivox	00004-chancellor_20.flac	0.474563	Er leidet durch das angeborene Gebrechen des Sohnes weit mehr, als sein Sohn selbst, und erbittet von diesem wohl dann und wann Verzeihung!	This morning, in the course of conversation, I said, You have a good son, M. Letourneur.
13.chancellor_1006_librivox	00004-chancellor_25.flac	0.617143	Heute sprach ich ihn folgendermaßen an:	He is full of reverence and love for you, sir, I remarked.
13.chancellor_1006_librivox	00004-chancellor_41.flac	0.6709649999999999	Die Erziehung André's habe ich, da ich ihn keiner öffentlichen Schule anvertrauen wollte, selbst geleitet und jetzt vollende ich sie durch Reisen.	I never allowed my son to go to college, but instructed him entirely myself, and these travels, I hope, will serve to complete his education.
13.chancellor_1006_librivox	00004-chancellor_47.flac	0.628571	Ich will ihn trösten, doch in dem Augenblick erscheint sein Sohn.	Ah, sir, do you suppose that Andre can ever forgive his parents for bringing him into the world a cripple?
13.chancellor_1006_librivox	00001-chancellor_2.flac	0.403846	Kapitän Huntly hat alle Segel beisetzen lassen, und der Nordwind treibt den Chancellor quer durch die Bai von Charleston.	I. CHARLESTON, SEPTEMBER th,.It is high tide, and three o'clock in the afternoon when we leave the Batteryquay; the ebb carries us off shore, and as Captain Huntly has hoisted both main and top sails, the northerly breeze drives the Chancellor briskly across the bay.
13.chancellor_1006_librivox	00001-chancellor_8.flac	0.262887	Der Chancellor, ein schöner Dreimaster von 900 Tonnen, gehört dem reichen Hause der Gebrüder Leard in Liverpool.	The Chancellor is a fine squarerigged threemaster, of tons burden, and belongs to the wealthy Liverpool firm of Laird Brothers.
13.chancellor_1006_librivox	00004-chancellor_68.flac	0.522734	Stolz, aufgeblasen, ein Anbeter seiner selbst und Verächter aller Anderen, trägt er eine affectirte Theilnahmlosigkeit für Alles, was ihn nicht direct angeht, zur Schau.	Why he should have taken his passage on board a mere merchant vessel instead of enjoying the luxuries of a Transatlantic steamer, I am altogether at a loss to explain.
13.chancellor_1006_librivox	00001-chancellor_9.flac	0.50837	Das Schiff ist zwei Jahre alt, mit Kupfer bekleidet, aus Teakholz gebaut und führt, außer dem Besanmaste, Untermaste und Takelage aus Eisen.	She is two years old, is sheathed and secured with copper, her decks being of teak, and the base of all her masts, except the mizen, with all their fittings, being of iron.
13.chancellor_1006_librivox	00001-chancellor_10.flac	0.937666	Das solide und schöne Schiff, beim Bureau Veritas unter A. I. classificirt, vollendet eben seine dritte Reise zwischen Charleston und Liverpool.	She is registered first class A I, and is now on her third voyage between Charleston and Liverpool.
13.chancellor_1006_librivox	00001-chancellor_13.flac	0.530374	Zwischen SüdCarolina und dem Vereinigten Königreiche besteht keine directe Dampferverbindung.	I must now relate how it happens that I have taken my passage on board the Chancellor on her return voyage to England.
13.chancellor_1006_librivox	00001-chancellor_15.flac	0.550624	Zwischen NewYork und der alten Welt unterhalten verschiedene englische, deutsche und französische Gesellschaften eine häufige und sichere Verbindung, und von dort aus hätte mich eine Scotia, Holfatia oder ein Pereire bekannte Schiffe jener Linien schnell genug meinem Bestimmungsorte zugeführt.	At present there is no direct steamship service between South Carolina and Great Britain, and all who wish to cross must go either northwards to New York or southwards to New Orleans.
13.chancellor_1006_librivox	00001-chancellor_16.flac	0.784173	Zwischen NewOrleans und Europa verkehren die Dampfer der National Steam navigation Co., die sich an die französische Linie nach Colon und Aspinwall anschließen.	It is quite true that if I had chosen to start from New York I might have found plenty of vessels belonging to English, French, or Hamburg lines, any of which would have conveyed me by a rapid voyage to my destination; and it is equally true that if I had selected New Orleans for my embarkation I could readily have reached Europe by one of the vessels of the National Steam Navigation Company, which join the French Transatlantic line of Colon and Aspinwall.
13.chancellor_1006_librivox	00004-chancellor_77.flac	0.366791	Diese Dame ist sehr hübsch; eine Blondine mit tiefblauen Augen, zeigt sie nicht jenes nichtssagende Gesicht, dem man bei so vielen Engländerinnen begegnet.	Her mouth would be charming if she ever smiled, but exposed as she is to the ridiculous whims and fancies of a capricious mistress, her lips rarely relax from their ordinary grave expression.
13.chancellor_1006_librivox	00001-chancellor_17.flac	0.289286	Als ich aber auf den Quais in Charleston dahinging, sah ich den Chancellor.	But it was fated to be otherwise.
13.chancellor_1006_librivox	00001-chancellor_18.flac	0.854392	Das Schiff gefiel mir, und ich weiß nicht, welcher Instinct mich an Bord desselben trieb.	One day, as I was loitering about the Charleston quays, my eye lighted upon this vessel.
13.chancellor_1006_librivox	00004-chancellor_82.flac	0.5293329999999999	Er leitet ein großes Wasserwerk in SüdCarolina und geht jetzt nach Europa, um neue vervollkommnetere Maschinen kennen zu lernen, unter Anderem die Centrifugen der Firma Cail.	He has the management of some extensive hydraulic works in South Carolina, and is now on his way to Europe to obtain some improved apparatus, and more especially to visit the mines worked by centrifugal force, belonging to the firm of Messrs.
13.chancellor_1006_librivox	00004-chancellor_83.flac	0.14898599999999998	Ein Mann von fünfundvierzig Jahren, steckt etwas von einem Gelehrten in ihm, der aber nur an seine Maschinen denkt, den Mechanik und Rechnungen von Kopf bis zum Fuß erfüllen und der darüber hinaus für Nichts mehr Sinn hat.	Cail. ~~~ He is fortyfive years of age, with all his interests so entirely absorbed by his machinery that he seems to have neither a thought nor a care beyond his mechanical calculations.
13.chancellor_1006_librivox	00004-chancellor_85.flac	0.47727299999999995	Ruby endlich repräsentirt den ganz gewöhnlichen Kaufmann ohne Erhabenheit und Originalität.	The last of our fellowpassengers, Mr. Ruby, is the type of a vulgar tradesman.
13.chancellor_1006_librivox	00002-chancellor_1.flac	0.5441560000000001	Ich erwähnte schon, daß der Kapitän des Chancellor Huntly heißt, mit Vornamen John Silas.	II. SEPTEMBER th.John Silas Huntly, the captain of the Chancellor, has the reputation of being an experienced navigator of the Atlantic.
13.chancellor_1006_librivox	00004-chancellor_86.flac	0.875217	Seit zwanzig Jahren hat dieser Mann nichts gethan, als zu kaufen und zu verkaufen, und da er im Allgemeinen theurer verkaufte, als er eingekauft hat, so hat er sich ein Vermögen erworben.	Without any originality or magnanimity in his composition, he has spent twenty years of his life in mere buying and selling, and as he has generally contrived to do business at a profit, he has realized a considerable fortune.
13.chancellor_1006_librivox	00002-chancellor_3.flac	0.616748	Bei nur mittlerer Körpergröße sind seine Schultern nicht breit, sein Kopf, den er aus Gewohnheit immer nach der linken Seite neigt, etwas klein.	He is of middle height and slight build, and has a small head, which he has a habit of holding a little over his left shoulder.
13.chancellor_1006_librivox	00005-chancellor_5.flac	0.67801	Wir werden die Bermuden, und speciell die Insel St. Georg, noch vor Nacht in Sicht bekommen, sagte mir der zweite Officier.	deg. min. W., so that he had every reason to believe that we should sight St. George's Island before night.
13.chancellor_1006_librivox	00005-chancellor_7.flac	0.8246399999999999	Ich war der Meinung, daß ein von Charleston nach Liverpool segelndes Schiff nach Norden halten und dem Golfstrome folgen müsse.	I should have thought that a vessel sailing from Charleston to Liverpool, would have kept northwards, and have followed the track of the Gulf Stream.
13.chancellor_1006_librivox	00002-chancellor_8.flac	0.014112200000000004	Dieser Mann ist nicht energisch, kann es nicht sein, nicht einmal starrköpfig, denn seine Augen haben kein Feuer, sein Kinn ist fein und weich und seine Hände scheinen sich gar nicht ballen zu können; außerdem fällt mir an ihm noch ein eigentümliches Wesen auf, das ich mir noch nicht zu erklären vermag, doch werde ich ihm auch ferner diejenige Aufmerksamkeit schenken, welche der Befehlshaber eines Schiffes verdient, auf dem er sich nach Gott den Nächsten nennt.	He does not appear as though he could be energetic enough ever to be stubborn; he never frowns, sets his teeth, or clenches his fist. ~~~ There is something enigmatical about him; however, I shall study him closely and do what I can to understand the man who, as commander of a vessel, should be to those around him second only to God.
13.chancellor_1006_librivox	00002-chancellor_10.flac	0.578052	Die Besatzung des Chancellor besteht aus Kapitän Huntly, dem zweiten Officier Robert Kurtis, dem Lieutenant Walter, einem Hochbootsmann und vierzehn Matrosen, lauter Engländer oder Schotten, zusammen also achtzehn Seeleute, eine Anzahl, welche zur Führung eines Dreimasters von 900 Tonnen Gehalt völlig hinreichend ist.	Besides the captain and this mate, whose name is Robert Curtis, our crew consists of Walter, the lieutenant, the boatswain, and fourteen sailors, all English or Scotch, making eighteen altogether, a number quite sufficient for working a vessel of tons burden.
13.chancellor_1006_librivox	00002-chancellor_13.flac	0.374227	Ich vervollständige das Verzeichniß der auf dem Chancellor eingeschifften Personen durch Erwähnung des Steward Hobbart, des Negerkochs Jynxtrop und durch Hinzufügung einer Liste der Passagiere.	My list of the ship's officials is incomplete unless I mention Hobart, the steward, and Jynxstrop, the negro cook.
13.chancellor_1006_librivox	00002-chancellor_14.flac	0.21964299999999998	Von Letzteren zähle ich, wenn ich mich einrechne, acht Personen.	In addition to these, the Chancellor carries eight passengers, including myself.
13.chancellor_1006_librivox	00002-chancellor_15.flac	0.475789	Noch kenne ich sie kaum, doch werden die Eintönigkeit einer längeren Ueberfahrt, die kleinen Vorkommnisse jedes Tages, die unumgängliche Berührung mehrerer in so engem Raume zusammen wohnender Leute, das natürliche Bedürfniß, seine Gedanken auszutauschen und die dem Menschenherzen eingeborene Neugier uns zeitig genug einander näher bringen.	Hitherto, the bustle of embarkation, the arrangement of cabins, and all the variety of preparations inseparable from starting on a voyage for at least twenty or fiveandtwenty days have precluded the formation of any acquaintanceships; but the monotony of the voyage, the close proximity into which we must be thrown, and the natural curiosity to know something of each other's affairs, will doubtless lead us in due time to an interchange of ideas.
13.chancellor_1006_librivox	00002-chancellor_16.flac	0.371688	Bis jetzt haben uns noch der Wirrwarr der Einschiffung, die Besitznahme der Cabinen, die Einrichtungen, welche eine Reise von drei bis vier Wochen nöthig macht, und verschiedenerlei andere Geschäfte noch von einander fern gehalten.	Two days have elapsed and I have not even seen all the passengers.
13.chancellor_1006_librivox	00005-chancellor_12.flac	0.683761	Ich habe ihm bemerkt, daß das nicht der gebräuchliche Weg sei, und er hat mir geantwortet, daß er schon wisse, was er zu thun habe.	Curtis acknowledged that he had already pointed out what an unusual route they were taking, but that the captain had said that he was quite aware what he was about.
13.chancellor_1006_librivox	00002-chancellor_17.flac	0.426471	Gestern und heute erschienen noch nicht einmal Alle bei Tische, und vielleicht leiden Einige an der Seekrankheit.	Probably sea sickness has prevented some of them from making their appearance at the common table.
13.chancellor_1006_librivox	00002-chancellor_18.flac	0.511382	Noch habe ich sie nicht einmal Alle gesehen, weiß aber, daß sich unter den Passagieren zwei Damen befinden, die in der hintersten Cabine wohnen, deren Fenster in dem Spiegel des Fahrzeugs angebracht sind.	One thing, however, I do know; namely, that there are two ladies occupying the sterncabins, the windows of which are in the aftboard of the vessel.
13.chancellor_1006_librivox	00002-chancellor_19.flac	0.839794	Hier folge eine Liste, wie ich sie der Schiffsrolle entnehme.	I have seen the ship's list and subjoin a list of the passengers.
13.chancellor_1006_librivox	00002-chancellor_22.flac	1.56657	Miß Herbey, Engländerin, Gesellschaftsdame der Mrs.	Miss Herbey, a young English lady, companion to Mrs. Kear.
13.chancellor_1006_librivox	00002-chancellor_24.flac	0.432812	William Falsten, Ingenieur aus Manchester, und John Ruby, Kaufmann aus Cardiff, Beide Engländer, endlich J. R. Kazallon aus London, der Verfasser dieser Zeilen.	William Falsten, a Manchester engineer. ~~~ John Ruby, a Cardiff merchant; and myself, J. R. Kazallon, of London.
13.chancellor_1006_librivox	00003-chancellor_1.flac	0.7290909999999999	Das Connossament des Kapitän Huntly, d. h. die Acte, in welcher die im Chancellor verladenen Waaren aufgeführt und die Frachtbedingungen festgestellt sind, lautet wörtlich folgendermaßen.	III. SEPTEMBER th.Captain Huntly's bill of lading, that is to say, the document that describes the Chancellor's cargo and the conditions of transport, is couched in the following terms: BRONSFIELD AND CO., AGENTS, CHARLESTON.
13.chancellor_1006_librivox	00005-chancellor_22.flac	0.463636	Noch ist dasselbe freilich nur wie eine Dunstschicht sichtbar.	At about three o'clock the lookout man sung out that there was land to windward, and descried what seemed as if it might be a line of smoke in the northeast horizon.
13.chancellor_1006_librivox	00003-chancellor_6.flac	0.714761	Alles in gutem Zustande, markirt und numerirt laut Buch, angeliefert erhalten zu haben, welche Waaren ich, abgesehen von den Gefahren und Zufällen des Meeres, in bestem Zustande in Liverpool an die Herren Gebr. Leard oder deren Ordre abliefern und mich für meine Frachtspesen mit 2000 Pfd. nicht mehr, laut Charterbrief bezahlt machen werde;	Laird Brothers, or to their order, or to their representative, who shall on due delivery of the said freight pay me the sum of l. inclusive, according to the charterparty and damages in addition, according to the usages and customs of the sea.
13.chancellor_1006_librivox	00003-chancellor_9.flac	0.782664	Zu dem Zwecke habe ich drei gleichlautende Connossamente unterzeichnet und sollen nach Erledigung eines derselben die anderen null und nichtig sein.	In witness whereof, I have signed three agreements, all of the same purport; on the condition that when the terms of one are accomplished, the other two shall be absolutely null and void.
13.chancellor_1006_librivox	00003-chancellor_10.flac	0.693277	Geschehen zu Charleston, am 13. Sept. 1869.	Given at Charleston, September th,, J.
13.chancellor_1006_librivox	00005-chancellor_28.flac	0.733685	Ueber diese Inseln rasen die Ausläufer der Wirbelstürme, die in den Antillen oft so viel Unheil anrichten, ja, und eben jene Ausläufer sind, ebenso wie der Schweif des Walfisches, am meisten zu fürchten.	Andre, interposed Curtis, who had as usual joined our party, that although poets may rave, and be as enthusiastic as they like about these islands, sailors will tell a different tale.
