book	audio	score	de_sentence	en_sentence
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_4.flac	0.72224	Starker Rosenduft durchströmte das Atelier, und als ein leichter Sommerwind die Bäume im Garten hin und her wiegte, kam durch die offene Tür der schwere Geruch des Flieders oder der feinere Duft des Rotdorns.	THE PICTURE OF DORIAN GRAY CHAPTER I THE studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pinkflowering thorn.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_5.flac	0.8658790000000001	Von dem Perserdiwan, auf dem er lag und nach seiner Gewohnheit unzählige Zigaretten rauchte, konnte Lord Henry Wotton gerade die süßduftenden und honigfarbenen Blüten eines Goldregenstrauchs gewahren, dessen zitternde Zweige die Last einer so flammenden Schönheit kaum tragen zu können schienen; und hie und da flitzten die phantastischen Schatten vorbeifliegender Vögel über die langen bastseidenen Vorhänge des großen Fensters und brachten eine Art japanische Augenblickswirkung hervor, so daß ihm die blassen, nephritfarbenen Maler Tokios einfielen, die vermittelst einer Kunst, die nicht anders als unbeweglich sein kann, den Eindruck der Raschheit und Bewegung hervorzurufen suchen.	From the corner of the divan of Persian saddle bags on which he was lying, smoking, as was his custom, Innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honeysweet and honeycoloured blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so flamelike as theirs; and now and then the fantastic shadows of birds in flight flitted across the long tussoresilk curtains that were stretched in front of the huge window, producing a kind of momentary Japanese effect, and making him think of those pallid jadefaced painters of Tokio who, through the medium of an art that is necessarily immobile, seek to convey the sense of swiftness and motion.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_6.flac	0.618021	Das summende Murren der Bienen, die in dem langen ungemähten Gras hin und her taumelten oder mit eintöniger Hartnäckigkeit die staubiggoldenen Blütentrichter des wuchernden Geißblatts umkreisten, schienen die Stille noch drückender zu machen.	The sullen murmur of the bees shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty gilt horns of the straggling woodbine, seemed to make the stillness more oppressive.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_7.flac	0.496429	Das dumpfe Getöse Londons klang wie das Schnarrwerk einer entfernten Orgel.	The dim roar of London was like the bourdon note of a distant organ.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_8.flac	0.769598	In der Mitte des Gemaches stand auf einer hoch aufgerichteten Staffelei das lebensgroße Porträt eines ungewöhnlich schönen jungen Mannes, und ihm gegenüber, etwas entfernt davon, saß der Künstler, der es gemalt hatte, Basil Hallward, dessen plötzliches Verschwinden vor einigen Jahren das Publikum erregt und so viele seltsame Vermutungen erweckt hat.	In the centre of the room, clamped to an upright easel, stood the fulllength portrait of a young man of extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist him self, Basil Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement, and gave rise to so many strange con jectures.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_9.flac	0.839261	Als der Maler auf die anmutige Gestalt blickte, die er so schön in seiner Kunst gespiegelt hatte, überflog ein Lächeln der Freude seine Züge und schien auf ihnen verweilen zu wollen.	As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of pleasure passed across his face, and seemed about to linger there.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_10.flac	0.575518	Aber er fuhr plötzlich auf, schloß die Augen und drückte die Lider mit den Fingern zu, wie wenn er einen absonderlichen Traum, dessen Erwachen er fürchtete, im Hirne gefangen halten wollte.	But he suddenly started up, and, closing his eyes, placed his fingers upon the lids, as though he sought to imprison within his brain some curious dream from which he feared he might awake.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_11.flac	1.09386	Es ist deine beste Arbeit, Basil, das Beste, was du je gemacht hast, sagte Lord Henry mit müder Stimme.	It is your best work, Basil, the best thing you have ever done, said Lord Henry, languidly.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_12.flac	0.573913	Du mußt es bestimmt nächstes Jahr ins Grosvenor schicken.	You must certainly send it next year to the Grosvenor.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_13.flac	0.509804	Die AkademieAusstellung ist zu groß und zu gewöhnlich.	The Academy is too large and too vulgar.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_14.flac	1.38802	Jedesmal, wenn ich hinging, waren entweder so viele Menschen da, daß ich die Bilder nicht sehen konnte, und das war schrecklich, oder so viele Bilder, daß ich die Menschen nicht sehen konnte, und das war noch schlimmer.	Whenever I have gone there, there have been either so many people that I have not been able to see the pictures, which was dreadful, or so many pictures that I have not been able to see the people, which was worse.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_15.flac	0.8735290000000001	Das Grosvenor ist wirklich der einzige Ort, der in Frage kommt.	The Grosvenor is really the only place.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_16.flac	1.02308	Ich denke nicht daran, es überhaupt auszustellen, antwortete der Maler und warf den Kopf in der besonderen Art zurück, über die seine Freunde in Oxford so oft gelacht hatten.	I don't think I shall send it anywhere, he answered, tossing his head back in that odd way that used to make his friends laugh at him at Oxford.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_17.flac	0.680571	Nein, ich stelle es nirgends aus.	No : I won't send it anywhere.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_18.flac	0.8997200000000001	Lord Henry zog die Brauen hoch und blickte ihn durch die dünnen blauen Rauchgirlanden, die sich in phantastischen Windungen aus seiner schweren, opiumgetränkten Zigarette emporkräuselten, erstaunt an.	Lord Henry elevated his eyebrows, and looked at him in amazement through the thin blue wreaths of smoke that curled up in such fanciful whorls from his heavy opiumtainted cigarette.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_19.flac	0.284211	Nirgends ausstellen?	Not send it anywhere ?
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_20.flac	1.05	Mein Lieber, warum?	My dear fellow, why ?
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_21.flac	0.9	Hast du einen Grund?	Have you any reason ?
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_22.flac	0.7125	Was ihr Maler für kuriose Kerle seid!	What odd chaps you painters are You do anything in the world to gain a reputation.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_24.flac	0.593478	Sowie ihr es seid, scheint ihr des Ruhms überdrüssig.	As soon as you have one, you seem to want to throw it away.
9.bildnis_dorian_gray_ak_librivox_64kb_mp3	00001-das_bildnis_25.flac	0.671629	Das ist dumm von dir, denn es gibt nur ein Ding in der Welt, das schlimmer ist, als daß über einen geredet wird, nämlich, daß nicht über einen geredet wird.	It is silly of you, for there is only one thing In the world worse than being talked about, and that Is not being talked about.
