book	audio	score	de_sentence	en_sentence
108.wahlverwandtschaften_0902_librivox_64kb_mp3	2.18_38.flac	0.325	Was?	I exclaimed.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_2.flac	0.42928599999999995	Hast du meine Frau nicht gesehen? fragte Eduard, indem er sich weiterzugehen anschickte.	Have you seen my wife anywhere? inquired Ed ward, as he moved to go away.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_8.flac	0.40213899999999997	Dann, fuhr der Gärtner fort, öffnet sich rechts das Tal, und man sieht über die reichen Baumwiesen in eine heitere Ferne.	And then, to the right of the church again, con tinued the gardener, is the opening of the valley; and II Elective Affinities you look along over a range of wood and meadow far into the distance.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_9.flac	0.593333	Der Stieg die Felsen hinauf ist gar hübsch angelegt.	The steps up the rock, too, are excel lently arranged.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_17.flac	0.42	Er freute sich daran in Hoffnung, daß der Frühling bald alles noch reichlicher beleben würde.	Spring was coming on; a rich, beautiful life would soon everywhere be burst ing; and Edward spoke of it with delight.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_23.flac	0.8806809999999999	Da wir denn ungestört hier allein sind, sagte Eduard, und ganz ruhigen, heiteren Sinnes, so muß ich dir gestehen, daß ich schon einige Zeit etwas auf dem Herzen habe, was ich dir vertrauen muß und möchte, und nicht dazu kommen kann.	Now that we are here by ourselves, with no one to disturb us, and in such a pleasant mood, said Edward, it is a good opportunity for me to tell you that I have for some time had something on my mind, about which I have wished to speak to you, but have never been able to muster up my courage.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_28.flac	0.7252029999999999	Du kennst die traurige Lage, in die er, wie so mancher andere, ohne sein Verschulden gesetzt ist.	It is through no fault of his own; but you may imagine how painful it must be for a person with his knowledge and talents and accomplish ments, to find himself without employment.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_30.flac	1.02073	ich möchte, daß wir ihn auf einige Zeit zu uns nähmen.	I should like to have him here with' us for a time.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_32.flac	0.80101	Meine Ansichten bin ich bereit dir mitzuteilen, entgegnete ihr Eduard.	I am quite ready to tell you what I have in view, returned Edward.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_38.flac	0.41447399999999995	Keines von den Verhältnissen ist ihm gemäß.	But I thought, said Charlotte, that he had had offers from many different quarters.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_39.flac	0.842513	Er soll nicht wirken; er soll sich aufopfern, seine Zeit, seine Gesinnungen, seine Art zu sein, und das ist ihm unmöglich.	I myself wrote to numbers of my own friends, male and female, for him; and, as I have reason to believe, not without effect.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_40.flac	0.948485	Je mehr ich das alles betrachte, je mehr ich es fühle, desto lebhafter wird der Wunsch, ihn bei uns zu sehen.	The more I think of it all, the more I feel about it, and the more anxious I am to see him here with us.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_47.flac	0.786047	Ich hätte längst eine Ausmessung des Gutes und der Gegend gewünscht; er wird sie besorgen und leiten.	What shall we not be thus doing for him! and how agreeable and how profitable may not his society prove to us!
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_49.flac	0.610714	Wie bedenklich ist ein solches Unternehmen!	He will see to it, and get it made.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_50.flac	0.182353	Zu wie manchen Vorkenntnissen kann er uns nicht verhelfen!	You intend yourself to take the management of the estate, as soon as our present stew ard's term is expired; and that, you know, is a serious thing.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_51.flac	0.661058	Ich fühle nur zu sehr, daß mir ein Mann dieser Art abgeht.	His various information will be of immense benefit to us; I feel only too acutely how much I require a per son of this kind.
108.wahlverwandtschaften_0902_librivox_64kb_mp3	1.1_52.flac	0.47882399999999997	Die Landleute haben die rechten Kenntnisse; ihre Mitteilungen aber sind konfus und nicht ehrlich.	The country people have knowledge enough, but their way of imparting it is confused, and not always honest.
