book	audio	score	de_sentence	en_sentence
36.schimmelreiter_storm_librivox_64kb_mp3	2_141.flac	0.432353	Warum?	<MERGE> Involuntarily I paused; I did not take my plunge, but returned to my place upon the raft.
36.schimmelreiter_storm_librivox_64kb_mp3	1_8.flac	0.9176469999999999	Und wirklich, einen Augenblick, als eine schwarze Wolkenschicht es pechfinster um mich machte und gleichzeitig die heulenden Böen mich samt meiner Stute vom Deich herabzudrängen suchten, fuhr es mir wohl durch den Kopf.	I had business in the city which was even now a few hours' ride to the south, and in spite of all the persuasions of my cousin and his kind wife, in spite of the Perinette and Grand Richard apples still to be tried, I had ridden away.
36.schimmelreiter_storm_librivox_64kb_mp3	1_13.flac	0.272727	Wer war das?	Who was that?
36.schimmelreiter_storm_librivox_64kb_mp3	1_21.flac	0.784848	Ich band das meine an einen derselben und überwies es dann dem Knechte, der mir beim Eintritt in den Flur entgegenkam:	I could easily see that it was a tavern, for in front of the windows I spied the socalled ricks, beams resting on two posts with great iron rings for hitching the cattle and horses that stopped there.
36.schimmelreiter_storm_librivox_64kb_mp3	1_23.flac	0.8451690000000001	Is wull so wat, entgegnete der Knecht auf plattdeutsch und ich erfuhr nachher, daß dieses neben dem Friesischen hier schon seit über hundert Jahren im Schwange gewesen sei , Diekgraf und Gevollmächtigten un wecke von de annern Interessenten!	Aye, something of the sort, the servant replied in Plattdeutsch, and later I learned that this dialect had been in full swing here, as well as the Frisian, for over a hundred years; the dikemaster and the overseers and the other landholders!
36.schimmelreiter_storm_librivox_64kb_mp3	1_25.flac	0.667787	Als ich eintrat, sah ich etwa ein Dutzend Männer an einem Tische sitzen, der unter den Fenstern entlanglief, eine Punschbowle stand darauf, und ein besonders stattlicher Mann schien die Herrschaft über sie zu führen.	When I entered, I saw about a dozen men sitting round a table that extended beneath the windows; a punch bowl stood upon it; and a particularly stately man seemed to dominate the party.
36.schimmelreiter_storm_librivox_64kb_mp3	1_29.flac	0.559963	Ich erfuhr bald, daß mein freundlicher Nachbar der Deichgraf sei; wir waren ins Gespräch gekommen, und ich hatte begonnen, ihm meine seltsame Begegnung auf dem Deiche zu erzählen.	I soon found out that my pleasant neighbour was the dikemaster; we entered into conversation, and I began to tell him about my strange encounter on the dike.
36.schimmelreiter_storm_librivox_64kb_mp3	1_32.flac	0.821739	Der Deichgraf war aufgestanden.	The dikemaster had risen.
36.schimmelreiter_storm_librivox_64kb_mp3	1_33.flac	0.8294290000000001	Ihr braucht nicht zu erschrecken, sprach er über den Tisch hin; das ist nicht bloß für uns; Anno 17 hat es auch denen drüben gegolten; mögen sie auf alles vorgefaßt sein!	You don't need to be afraid, he spoke across the table, that isn't meant for us only; in the year ' it was meant for them too; may they be ready for the worst!
36.schimmelreiter_storm_librivox_64kb_mp3	1_36.flac	1.12195	Abseits hinter dem Ofen, ein wenig gebückt, saß ein kleiner hagerer Mann in einem abgeschabten schwarzen Röcklein; die eine Schulter schien ein wenig ausgewachsen.	Apart from the others, behind the stove, a small, haggard man in a little worn black coat sat somewhat bent over; one of his shoulders seemed a little deformed.
36.schimmelreiter_storm_librivox_64kb_mp3	1_37.flac	0.9824879999999999	Er hatte mit keinem Worte an der Unterhaltung der andern teilgenommen, aber seine bei dem spärlichen grauen Haupthaar noch immer mit dunklen Wimpern besäumten Augen zeigten deutlich, daß er nicht zum Schlaf hier sitze.	He had not taken part with a single word in the conversation of the others, but his eyes, fringed as they were with dark lashes, although the scanty hair on his head was grey, showed clearly that he was not sitting there to sleep.
36.schimmelreiter_storm_librivox_64kb_mp3	1_40.flac	0.6384	Ihr scherzet, Deichgraf! kam die etwas kränkliche Stimme des Schulmeisters hinter dem Ofen hervor, daß Ihr mir Euern dummen Drachen wollt zur Seite stellen!	You are joking, dikemaster! the somewhat feeble voice of the schoolmaster rose from behind the stove, if you want to compare me to your silly dragon!
36.schimmelreiter_storm_librivox_64kb_mp3	1_42.flac	0.174716	Freilich! sagte der kleine Herr; wir sind hierin nicht ganz derselben Meinung; und ein überlegenes Lächeln glitt über das feine Gesicht. Sie sehen wohl, raunte der Deichgraf mir ins Ohr; er ist immer noch ein wenig hochmütig; er hat in seiner Jugend einmal Theologie studiert und ist nur einer verfehlten Brautschaft wegen hier in seiner Heimat als Schulmeister behangen geblieben.	And a superior smile flitted over his delicate face. ~~~ You see, the dikemaster whispered in my ear, he is still a little proud; in his youth he once studied theology and it was only because of an unhappy courtship that he stayed hanging about his home as schoolmaster.
36.schimmelreiter_storm_librivox_64kb_mp3	1_43.flac	0.7905260000000001	Dieser war inzwischen aus seiner Ofenecke hervorgekommen und hatte sich neben mir an den langen Tisch gesetzt.	The schoolmaster had meanwhile come forward from his corner by the stove and had sat down beside me at the long table.
36.schimmelreiter_storm_librivox_64kb_mp3	1_55.flac	0.251685	Das kann ich dir nicht sagen; genug, es ist so, und du selber irrst dich. Willst du mehr wissen, so suche morgen aus der Kiste, die auf unserm Boden steht, ein Buch, einer, der Euklid hieß, hat's geschrieben; das wird's dir sagen! Der Junge war tags darauf zum Boden gelaufen und hatte auch bald das Buch gefunden; denn viele Bücher gab es überhaupt nicht in dem Hause; aber der Vater lachte, als er es vor ihm auf den Tisch legte.	If you want to know more, search for a book tomorrow in a box in our attic; someone whose name is Euclid has written it; that will tell you. ~~~ The next day the boy had run up to the attic and soon had found the book, for there were not many books in the house anyway, but his father laughed when he laid it in front of him on the table.
36.schimmelreiter_storm_librivox_64kb_mp3	1_56.flac	0.9111459999999999	Es war ein holländischer Euklid, und Holländisch, wenngleich es doch halb Deutsch war, verstanden alle beide nicht.	It was a Dutch Euclid, and Dutch, although it was half German, neither of them understood.
36.schimmelreiter_storm_librivox_64kb_mp3	1_64.flac	0.73674	Es ist mir nicht unbekannt, Herr, unterbrach sich der Erzähler, daß dieser Umstand auch von Hans Mommsen erzählt wird; aber vor dessen Geburt ist hier bei uns schon die Sache von Hauke Haien so hieß der Knabe berichtet worden.	I know perfectly well, sir, the story teller interrupted himself, that this same incident is also told of Hans Mommsen, but before his birth our people here have told the same of Hauke Haienthat was the name of the boy.
