book	audio	score	de_sentence	en_sentence
18.undine_1503_librivox	00001-undine_0.flac	0.7924939999999999	Es mögen nun wohl schon viele hundert Jahre her sein, da gab es einmal einen alten guten Fischer, der saß eines schönen Abends vor der Tür und flickte seine Netze.	There was once, it may be now many hundred years ago, a good old fisherman, who was sitting one fine evening before his door, mending his nets.
18.undine_1503_librivox	00001-undine_15.flac	0.7316239999999999	Ein scharlachroter Mantel hing ihm über sein veilchenblaues goldgesticktes Wams herab; von dem goldfarbigen Barette wallten rote und veilchenblaue Federn, am goldnen Wehrgehenke blitzte ein ausnehmend schönes und reichverziertes Schwert.	A scarlet mantle was thrown over his purple goldembroidered doublet; a red and violet plume waved from his goldencolored headgear; and a beautifully and richly ornamented sword flashed from his shoulderbelt.
18.undine_1503_librivox	00001-undine_17.flac	0.6320180000000001	Dem alten Fischer war es noch immer nicht ganz geheuer zumut, obwohl er einzusehn meinte, daß von einer so holden Erscheinung nichts Übles zu befahren sei, weshalb er auch seinen Hut ganz sittig vor dem näherkommenden Herrn abzog und gelassen bei seinen Netzen verblieb.	The old fisherman did not, however, feel perfectly secure in his mind, although he tried to convince himself that no evil was to be feared from so graceful an apparition; and therefore he politely took off his hat as the knight approached, and remained quietly with his nets.
18.undine_1503_librivox	00001-undine_25.flac	0.906015	Ei, Mann, sagte die Frau mit ruhigem Lächeln, wo denkst du auch hin?	Why, husband, said the wife, with a quiet smile, what can you be thinking of?
18.undine_1503_librivox	00001-undine_28.flac	0.538099	Der Ritter holte den Sessel achtsam herbei, ließ sich freundlich darauf nieder, und es war ihm zumute, als sei er mit diesem kleinen Haushalt verwandt und eben jetzt aus der Ferne dahin heimgekehrt.	The knight fetched the chair carefully, sat down upon it goodhumoredly, and it seemed to him as if he were related to this little household, and had just returned from abroad.
18.undine_1503_librivox	00001-undine_38.flac	0.482727	Aber wie gesagt, im Grunde ist sie doch von ganzem Herzen gut.	But, as I said, at heart she is thoroughly good.
18.undine_1503_librivox	00001-undine_42.flac	0.5464289999999999	Nun, nun, lächelte der Hausherr, du hast es mit Undinen und ich mit dem See.	Well, well, said her husband with a smile, you have your troubles with Undine, and I have mine with the lake.
18.undine_1503_librivox	00001-undine_44.flac	0.27	Nicht wahr	Isn't it so?
18.undine_1503_librivox	00001-undine_51.flac	0.634191	Mußtest du denn jahrelang in der Welt herumstreifen, bevor du dich auch einmal zu uns fandest?	Have you been obliged then to wander through the world for years, before you could find your way to us?
18.undine_1503_librivox	00001-undine_57.flac	0.969666	Der alte Mann tat, wie Eltern mit verzognen Kindern zu tun pflegen.	The old man did as parents are wont to do with spoiled children.
18.undine_1503_librivox	00001-undine_73.flac	0.845467	Er schalt heftig auf Undines Ungehorsam und unsittiges Betragen gegen den Fremden, und die gute alte Frau stimmte mit ein.	He severely reproved Undine's disobedience and unbecoming behavior to the stranger, and his good old wife joined with him heartily.
18.undine_1503_librivox	00002-undine_1.flac	0.824525	Ehe sie aber an die Hüttentür gelangten, war Undine schon lange in dem wolkigen Dunkel draußen verschwunden, und auch kein Geräusch ihrer leichten Füße verriet, wohin sie ihren Lauf wohl gerichtet haben könne.	Before they reached the cottage door, however, Undine had long vanished in the shadowy darkness without, and not even the sound of her light footstep betrayed the direction of her flight.
18.undine_1503_librivox	00002-undine_11.flac	0.721133	Der Alte wiegte sein Haupt hin und her, sprechend, all das Geschrei helfe am Ende zu nichts; der Ritter wisse noch nicht, wie trotzig die Kleine sei.	The old man shook his head, saying, that all that shouting would help but little, for the knight had no idea how selfwilled the little truant was.
18.undine_1503_librivox	00002-undine_14.flac	0.565909	Ich bitte dich, komme doch nur dies eine Mal zurück.	Ah! dear Undine, I beg you to come backonly this once!
18.undine_1503_librivox	00002-undine_28.flac	0.728571	Meine Frau war daheim geblieben wie gewöhnlich; und solches zu der Zeit auch noch um einer gar hübschen Ursache willen, denn Gott hatte uns, in unserm damals schon ziemlich hohen Alter, ein wunderschönes Kindlein beschert.	My wife had stayed at home, as her wont is, and at this particular time for a very good reason, for God had given us, in our tolerably advanced age, a wonderfully beautiful child.
18.undine_1503_librivox	00002-undine_33.flac	0.8158350000000001	Dabei aber hab ich nicht gegen unsern lieben Herrgott gemurret, vielmehr ihm im stillen für das Neugeborne gedankt; ich müßte auch lügen, wenn ich sagen wollte, mir wäre auf dem Hin oder Rückwege durch den Wald irgend etwas Bedenklicheres aufgestoßen als sonst, wie ich denn nie etwas Unheimliches dorten gesehn habe.	But at the same time I did not murmur against the good God; on the contrary, I thanked him in secret for the newborn babe; I should be telling a lie, too, were I to say, that on my journey through the wood, going or returning, anything befell me out of the common way, and at that time I had never seen any of its fearful wonders.
18.undine_1503_librivox	00002-undine_34.flac	0.5327270000000001	Der Herr war immer mit mir in den verwunderlichen Schatten.	The Lord was ever with me in those mysterious shades.
18.undine_1503_librivox	00002-undine_35.flac	0.31190500000000004	Da zog er sein Mützchen von dem kahlen Schädel und blieb eine Zeitlang in betenden Gedanken sitzen.	As he spoke he took his little cap from his bald head, and remained for a time occupied with prayerful thoughts; he then covered himself again, and continued: On this side the forest, alas! a sorrow awaited me.
18.undine_1503_librivox	00002-undine_43.flac	0.705495	Nun, wir verwaisten Eltern saßen denn noch selbigen Abends still beisammen in der Hütte, zu reden hatte keiner Lust von uns, wenn man es auch gekonnt hätte vor Tränen.	The same evening we, childless parents, were sitting silently together in the cottage; neither of us had any desire to talk, even had our tears allowed us.
18.undine_1503_librivox	00002-undine_61.flac	0.9902559999999999	Wir meinten endlich, Dorothea werde sich am besten für sie schicken, weil ich einmal gehört hatte, das heiße Gottesgabe, und sie uns doch von Gott als eine Gabe zugesandt war, als ein Trost in unserm Elend.	We agreed at last that Dorothea would be the most suitable for her, for I once heard that it meant a gift of God, and she had surely been sent to us by God as a gift and comfort in our misery.
18.undine_1503_librivox	00002-undine_63.flac	0.713016	Nun kam mir das wie ein heidnischer Name vor, der in keinem Kalender stehe, und ich holte mir deshalben Rat bei einem Priester in der Stadt.	Now this appeared to me a heathenish name, not to be found in any calendar, and I took counsel therefore of a priest in the city.
18.undine_1503_librivox	00002-undine_64.flac	1.08333	Der wollte auch nichts von dem UndinenNamen hören und kam auf mein vieles Bitten mit mir durch den verwunderlichen Wald zu Vollziehung der Taufhandlung hier herein in meine Hütte.	He also would not hear of the name of Undine, but at my earnest request he came with me through the mysterious forest in order to perform the rite of baptism here in my cottage.
