book	audio	score	de_sentence	en_sentence
54.weisse_naechte_1504_librivox	00003-weissenaechte_109.flac	0.339904	Leben Sie wohl!	<MERGE> He will not fail to inform the Princess, who is the mother of all that want her assistance.
54.weisse_naechte_1504_librivox	00003-weissenaechte_242.flac	0.07286820000000001	Weiter!	<MERGE> It is most true, said Manfred; and the title you give me is more than an outcast can claimwell! be it soproceed.
54.weisse_naechte_1504_librivox	00001-weissenaechte_254.flac	0.325	Was?	I exclaimed.
54.weisse_naechte_1504_librivox	00001-weissenaechte_174.flac	0.432353	Warum?	<MERGE> Involuntarily I paused; I did not take my plunge, but returned to my place upon the raft.
54.weisse_naechte_1504_librivox	00003-weissenaechte_241.flac	0.3	Nun gut!	Myself.
54.weisse_naechte_1504_librivox	00005-weissenaechte_242.flac	0.388328	Wie?	What did I say to you when last you got drunk? asked Chichikov.
54.weisse_naechte_1504_librivox	00001-weissenaechte_7.flac	0.3	Nun kann man mich allerdings fragen: wer sind diese Alle?	Of course, any one is entitled to ask who every oiifijras.
54.weisse_naechte_1504_librivox	00001-weissenaechte_8.flac	0.916272	Denn ich lebe schon seit acht Jahren in Petersburg und habe es bis heute nicht verstanden, Bekanntschaften zu machen.	For though I had been living almost eight years in Petersburg I had hardly an acquaintance.
54.weisse_naechte_1504_librivox	00001-weissenaechte_10.flac	0.739899	Ich kenne auch so ganz Petersburg; darum hatte ich auch das Gefühl, von allen verlassen zu sein, als ganz Petersburg aufbrach und in die Sommerfrischen zog.	I was acquainted with all Peters burg as it was; that was why I felt as though they were all deserting me when all Petersburg packed up and went to its summer villa.
54.weisse_naechte_1504_librivox	00001-weissenaechte_19.flac	0.27665500000000004	Darum sind wir nahe daran, einander zu grüßen; besonders, wenn wir beide gut aufgelegt sind. Als wir uns neulich ganze zwei Tage nicht gesehen hatten und uns am dritten Tage wieder trafen, griff ein jeder von uns nach seinem Hute; wir beherrschten uns aber noch zur rechten Zeit, ließen die Hände sinken und gingen mit teilnahmsvollen Blicken aneinander vorbei.	The other day, when we had not seen each other for two days and met on the third, we were actually touching our hats, but, realizing in time, dropped our hands and passed each other with a look of interest.
54.weisse_naechte_1504_librivox	00001-weissenaechte_23.flac	1.1	Mir geht es, Gottlob, recht gut, und im Mai bekomme ich ein neues Stockwerk.	I am quite well, thank God, and I am to have a new storey in May, or, How are you?
54.weisse_naechte_1504_librivox	00001-weissenaechte_27.flac	0.485149	Ich habe unter ihnen meine Lieblinge und gute Freunde; eines von ihnen hat die Absicht, sich diesen Sommer einer Kur bei einem Architekten zu unterziehen.	I shall go every day on purpose to see that the operation is not a failure.
54.weisse_naechte_1504_librivox	00001-weissenaechte_35.flac	0.778261	Nichts haben sie verschont: weder die Säulen, noch die Gesimse, und mein Freund wurde gelb wie ein Kanarienvogel.	So now you understand, reader, in what sense I am acquainted with all Petersburg.
54.weisse_naechte_1504_librivox	00001-weissenaechte_36.flac	0.21214299999999997	Mir lief vor Erregung beinahe die Galle über, und ich bringe es auch heute noch nicht übers Herz, meinen verunstalteten armen Freund aufzusuchen, den man in der Farbe des Reiches der Mitte angemalt hat.	I have mentioned already that I had felt worried for three whole days before I guessed the cause of my uneasiness. ~~~ And I felt ill at ease in the street this one had gone and that one had gone, and what had become of the other ? and at home I did not feel like myself either.
54.weisse_naechte_1504_librivox	00001-weissenaechte_37.flac	0.883647	Nun verstehen Sie wohl, freundlicher Leser, auf welche Weise ich ganz Petersburg kenne.	For two evenings was puy.ling my brains to think what was;unks in my corner; why felt so un comfortable in it.
54.weisse_naechte_1504_librivox	00001-weissenaechte_38.flac	0.5851850000000001	Wie ich schon sagte, verzehrte ich mich drei Tage in Unruhe, bis ich endlich ihren Grund erriet.	And in jHrplexif y I scanned my grimy green walls, my ceiling covered witli a spider's web, the growth of wliich WHITE NIGHTS Matrona has so successfully encouraged.
54.weisse_naechte_1504_librivox	00001-weissenaechte_39.flac	0.7255060000000001	Auf der Straße war es mir ganz trüb zumute dieser fehlt, jener fehlt, und wo ist der und der hingeraten?, und auch zu Hause war es mir unbehaglich.	I looked over all my furniture, examined every chair, wondering whether the trouble lay there for if one chair is not standing in the same position as it stood the day before, I am not myself.
54.weisse_naechte_1504_librivox	00001-weissenaechte_44.flac	0.18	Ach so!	Aie !
54.weisse_naechte_1504_librivox	00001-weissenaechte_58.flac	-0.0851351	Welche Kraft hat in diesen traurigen, nachdenklichen Augen solches Feuer entzündet?	Instantly I felt lighthearted, and I passed the barrier and walked between cultivated fields and meadows, unconscious of fatigue, and feeling only all over as though a burden were falling off my soul.
54.weisse_naechte_1504_librivox	00001-weissenaechte_60.flac	0.2048780000000001	Was hat die zarten Gesichtszüge mit Leidenschaft übergossen?	They were all smoking cigars, every one of them.
54.weisse_naechte_1504_librivox	00001-weissenaechte_62.flac	0.6370180000000001	Was hat im Gesicht des armen Mädchens Kraft, Leben und Schönheit geweckt und es mit diesem Lächeln belebt?	It was as though I had suddenly found myself in Italy so strong was the effect of nature upon a halfsick townsman like me, almost stifling between city walls.
54.weisse_naechte_1504_librivox	00001-weissenaechte_63.flac	0.3	Woher kommt dieses sprudelnde, zündende Lachen?	What summoned the blood to those pale, wan cheeks ?
54.weisse_naechte_1504_librivox	00001-weissenaechte_67.flac	0.795455	Und doch war meine Nacht noch schöner als der Tag!	You look round, you seek for some one, you conjecture....
54.weisse_naechte_1504_librivox	00001-weissenaechte_68.flac	0.692308	Und das kam so:	This was how it happened.
54.weisse_naechte_1504_librivox	00001-weissenaechte_70.flac	0.8590909999999999	Ich ging den Kanal entlang, wo man um diese Stunde gewöhnlich keinem Menschen begegnet.	My way lay along the canal embankment, where at that hour you never meet a soul.
