,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,10.buchsederpandora_1501_librivox,chapter1_1.flac,00001-f000001,0.508904,Prachtvoller Saal in deutscher Renaissance mit schwerem Plafond aus geschnitztem Eichenholz.,"ACT I The hall of EARTHSPIRIT, Act IV, feebly lighted by an oil lamp on the centre table."
1,10.buchsederpandora_1501_librivox,chapter1_4.flac,00001-f000001,0.625685,In der Mitte unter der Galerie befindet sich die Eingangstür mit gewundenen Säulen und Frontispiz.,"ACT I The hall of EARTHSPIRIT, Act IV, feebly lighted by an oil lamp on the centre table."
2,10.buchsederpandora_1501_librivox,chapter1_6.flac,00001-f000004,0.2625,"Links vorn ein kleiner Serviertisch, daneben ein Lehnsessel.",The firescreen and the chair by the ottoman are gone too.
3,10.buchsederpandora_1501_librivox,chapter1_7.flac,00001-f000005,0.500168,"Der Saal ist durch eine auf dem Mitteltisch stehende, tiefverschleierte Petroleumlampe matt erhellt.","Down left is a small teatable, with a coffeepot and a cup of black coffee on it, and an armchair next it."
4,10.buchsederpandora_1501_librivox,chapter1_8.flac,00001-f000006,0.845455,Alwa Schön geht vor der Eingangstür auf und nieder.,"In this chair, deep in cushions, with a plaid shawl over her knees, sits Countess Geschwitz in a tight black dress."
5,10.buchsederpandora_1501_librivox,chapter1_9.flac,00001-f000007,0.56748,"Auf der Ottomane sitzt Rodrigo, als Bedienter gekleidet.","Rodrigo, clad as a servant, sits on the ottoman."
6,10.buchsederpandora_1501_librivox,chapter1_10.flac,00001-f000006,0.494602,"Links in dem Lehnsessel, in schwarzem enganliegenden Kleid, tief in Kissen gebettet, einen Plaid über den Knien, sitzt die Gräfin Geschwitz.","In this chair, deep in cushions, with a plaid shawl over her knees, sits Countess Geschwitz in a tight black dress."
7,10.buchsederpandora_1501_librivox,chapter1_11.flac,00001-f000007,0.0585366,Neben ihr auf dem Tisch steht eine Kaffeemaschine und eine Tasse mit schwarzem Kaffee.,"Rodrigo, clad as a servant, sits on the ottoman."
8,10.buchsederpandora_1501_librivox,chapter1_12.flac,00001-f000009,0.893496,Er läßt auf sich warten wie ein Konzertmeister!,He lets people wait for him as if he were a concert conductor!
9,10.buchsederpandora_1501_librivox,chapter1_13.flac,00001-f000009,0.600725,"Die Geschwitz Ich beschwöre Sie, sprechen Sie nicht!",He lets people wait for him as if he were a concert conductor!
