,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_1.flac,00035-f000003,0.214286,Sie eilte bis zur Türschwelle.,She ran down to the hall.
1,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_2.flac,00035-f000004,0.959524,Ottilie steigt aus und nähert sich mit Eduarden.,"Ottilie alighted, and ap proached her and Edward."
2,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_3.flac,00035-f000005,0.398592,"Mit Eifer und Gewalt faßt sie die Hände beider Ehegatten, drückt sie zusammen und eilt auf ihr Zimmer.","Violently and eagerly she caught the hands of the wife and husband, pressed them together, and hurried off to her own room."
3,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_5.flac,00035-f000009,0.541071,Es erschien so weitläufig als unerfreulich.,It had been all cleared out.
4,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_6.flac,00035-f000011,0.873684,"Man hatte alles weggetragen, nur das Köfferchen, unschlüssig, wo man es hinstellen sollte, in der Mitte des Zimmers stehengelassen.","Everything had been carried away ex cept the little box, which from an uncertainty what was to be done with it, had been left in the middle of the room."
5,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_7.flac,00035-f000012,0.6773279999999999,"Ottilie lag auf dem Boden, Arm und Haupt über den Koffer gestreckt.","Ottilie was lying stretched upon the floor, her arm and head leaning across the cover."
6,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_8.flac,00035-f000013,0.7224079999999999,"Charlotte bemüht sich um sie, fragt, was vorgegangen, und erhält keine Antwort.","Charlotte bent anxiously over her, and asked what had happened; but she received no answer."
7,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_9.flac,00035-f000015,0.49,"Sie läßt ihr Mädchen, das mit Erquickungen kommt, bei Ottilien und eilt zu Eduarden.","Charlotte left her with Ottilie, and herself hastened back to Edward."
8,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_10.flac,00035-f000016,0.394156,Sie findet ihn im Saal; auch er belehrt sie nicht.,"She found him in the saloon, but he could tell her noth Elective Affinities ing."
9,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_12.flac,00035-f000019,0.752128,"Das übrige denkt sie sich zusammen und dann sogleich mit Entschlossenheit an das, was der Augenblick fordert.","The rest she put together in her own thoughts as well as she could, and set herself to do what the exi gencies of the moment required."
10,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_13.flac,00035-f000020,1.48824,Ottiliens Zimmer ist aufs baldigste wieder eingerichtet.,"Ottilie's room was put to rights again as quickly as possible; Edward found his, to the last paper, exactly as he had left it."
11,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_14.flac,00035-f000021,0.263077,"Eduard hat die seinigen angetroffen, bis auf das letzte Papier, wie er sie verlassen.",The three appeared again to fall into some sort of relation with one another.
12,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_15.flac,00035-f000022,0.678347,"Die dreie scheinen sich wieder gegeneinander zu finden, aber Ottilie fährt fort zu schweigen, und Eduard vermag nichts, als seine Gattin um Geduld zu bitten, die ihm selbst zu fehlen scheint.","But Ottilie persevered in her silence, and Edward could do nothing except entreat his wife to exert a patience which seemed wanting to himself."
13,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_16.flac,00035-f000023,1.18667,Charlotte sendet Boten an Mittlern und an den Major.,Charlotte sent messengers to Mittler and to the Major.
14,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_17.flac,00035-f000024,0.673308,"Jener war nicht anzutreffen, dieser kommt.",The first was absent from home and could not be found.
15,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_19.flac,00035-f000027,1.02857,Sie spricht aufs liebevollste mit ihrem Gemahl.,She spoke with the utmost tenderness to her husband.
16,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_20.flac,00035-f000028,0.45907200000000004,"Sie weiß keine andere Bitte zu tun als nur, daß man das Kind gegenwärtig nicht bestürmen möge.","She had nothing to ask of him, except that for the pres ent he would leave the poor girl to herself."
17,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_21.flac,00035-f000029,0.974955,"Eduard fühlt den Wert, die Liebe, die Vernunft seiner Gattin; aber seine Neigung beherrscht ihn ausschließlich.","Edward was not insensible to the worth, the affection, the strong sense of his wife; but his passion absorbed him exclu sively."
18,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_22.flac,00035-f000030,0.7842859999999999,"Charlotte macht ihm Hoffnung, verspricht ihm, in die Scheidung zu willigen.",Charlotte tried to cheer him with hopes.
19,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_24.flac,00035-f000033,0.723729,"Charlotte, ihn zu besänftigen, ihn zu erhalten, tut, was er fordert.",Elective Affinities He was so much shaken that hope and faith alternately forsook him.
20,108.wahlverwandtschaften_0902_librivox_64kb_mp3,2.17_25.flac,00035-f000037,0.9098930000000001,"Sie sagt dem Major ihre Hand zu auf den Fall, daß Ottilie sich mit Eduarden verbinden wolle, jedoch unter ausdrücklicher Bedingung, daß die beiden Männer für den Augenblick zusammen eine Reise machen.","She engaged to become herself the wife of the Major, in the event of Ottilie consenting to the marriage with Edward; with this express condition, however, that for the present the two gentlemen should go abroad together."
