,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,11.burg_von_otranto_1406_librivox,00005-otranto_1.flac,00005-f000003,0.434615,"Ahndungen durchschauerten Manfreds Seele, als er den Federbusch der wundersamen Sturmhaube, bey dem Schall der ehernen Drommete erbeben sah.",Manfred's heart misgave him when he beheld the plumage on the miraculous casque shaken in concert with the sounding of the brazen trumpet.
1,11.burg_von_otranto_1406_librivox,00005-otranto_2.flac,00005-f000004,0.567054,"Vater, sprach er zu Geronimo, den er nicht länger als Grafen Falconara behandelte, was bedeuten diese Schreckenszeichen?","Father! said he to Jerome, whom he now ceased to treat as Count of Falconara, what mean these portents?"
2,11.burg_von_otranto_1406_librivox,00005-otranto_3.flac,00005-f000005,-0.021052599999999998,Hab' ich gesündigt,If I have offended the plumes were shaken with greater violence than before.
3,11.burg_von_otranto_1406_librivox,00005-otranto_4.flac,00005-f000005,-0.021052599999999998,Die Federn bewegten sich heftiger als zuvor.,<MERGE> If I have offended the plumes were shaken with greater violence than before.
4,11.burg_von_otranto_1406_librivox,00005-otranto_5.flac,00005-f000006,1.225,Ich bin verloren! rief Manfred.,"Unhappy Prince that I am, cried Manfred."
5,11.burg_von_otranto_1406_librivox,00005-otranto_6.flac,00005-f000007,0.600725,"Ehrwürdiger Vater, unterstützen Sie mich mit Ihrem Gebet.",Holy Father! will you not assist me with your prayers?
6,11.burg_von_otranto_1406_librivox,00005-otranto_7.flac,00005-f000008,0.603947,"Gnädiger Herr, antwortete Geronimo, der Himmel ist ohne Zweifel aufgebracht, daß Sie seiner Diener spotten.","My Lord, replied Jerome, heaven is no doubt displeased with your mockery of its servants."
7,11.burg_von_otranto_1406_librivox,00005-otranto_8.flac,00005-f000009,0.499153,"Unterwerfen Sie sich der Kirche, und hören Sie auf, ihre Gesandten zu verfolgen.",Submit yourself to the church; and cease to persecute her ministers.
8,11.burg_von_otranto_1406_librivox,00005-otranto_9.flac,00005-f000010,0.186593,Entlassen Sie diesen unschuldigen Jüngling.,Dismiss this innocent youth; and learn to respect the holy character I wear.
9,11.burg_von_otranto_1406_librivox,00005-otranto_10.flac,00005-f000010,0.186593,Lernen Sie meinen heiligen Stand achten.,<MERGE> Dismiss this innocent youth; and learn to respect the holy character I wear.
10,11.burg_von_otranto_1406_librivox,00005-otranto_11.flac,00005-f000011,0.802326,"Sie sehn, der Himmel läßt nicht mit sich scherzen.",Heaven will not be trifled with: you see the trumpet sounded again.
11,11.burg_von_otranto_1406_librivox,00005-otranto_12.flac,00005-f000012,1.57857,"Ich erkenne meine Uebereilung, sprach Manfred.","I acknowledge I have been too hasty, said Manfred."
12,11.burg_von_otranto_1406_librivox,00005-otranto_13.flac,00005-f000013,0.652941,"Vater, gehn Sie an das Pförtchen, und fragen Sie, wer vor dem Thor ist.","Father, do you go to the wicket, and demand who is at the gate."
13,11.burg_von_otranto_1406_librivox,00005-otranto_14.flac,00005-f000014,0.6141840000000001,Versprechen Sie mir Theodors Leben? versetzte der Mönch.,Do you grant me the life of Theodore? replied the Friar.
14,11.burg_von_otranto_1406_librivox,00005-otranto_15.flac,00005-f000015,0.7275,"Ich versprech' es, antwortete Manfred, aber fragen Sie, wer draußen ist?","I do, said Manfred; but inquire who is without!"
15,11.burg_von_otranto_1406_librivox,00005-otranto_16.flac,00005-f000016,1.0853700000000002,"Geronimo fiel um den Hals seines Sohnes, eine Thränenflut entströmte der Fülle seines Herzens.","Jerome, falling on the neck of his son, discharged a flood of tears, that spoke the fulness of his soul."
16,11.burg_von_otranto_1406_librivox,00005-otranto_17.flac,00005-f000017,0.828947,"Sie versprachen mir an das Thor zu gehn, sagte Manfred.","You promised to go to the gate, said Manfred."
17,11.burg_von_otranto_1406_librivox,00005-otranto_18.flac,00005-f000018,0.193333,"Ich dachte, erwiederte der Mönch, Ihre Hoheit würden mir verzeihen, daß ich Ihnen zuvor, durch den Zoll meines Herzens, dankte.","I thought, replied the Friar, your Highness would excuse my thanking you first in this tribute of my heart."
18,11.burg_von_otranto_1406_librivox,00005-otranto_19.flac,00005-f000018,0.193333,Gehn,"<MERGE> I thought, replied the Friar, your Highness would excuse my thanking you first in this tribute of my heart."
19,11.burg_von_otranto_1406_librivox,00005-otranto_20.flac,00005-f000019,0.547619,"Sie, theurer Vater, sagte Theodor, gehorchen Sie dem Fürsten.","Go, dearest Sir, said Theodore; obey the Prince."
20,11.burg_von_otranto_1406_librivox,00005-otranto_21.flac,00005-f000020,0.866038,"Ich verdiene nicht, daß Sie meinentwegen sein Verlangen verzögern.",I do not deserve that you should delay his satisfaction for me.
21,11.burg_von_otranto_1406_librivox,00005-otranto_22.flac,00005-f000021,0.217647,"Geronimo erhielt auf seine Frage: wer draußen sey? zur Antwort, ein Herold.","Jerome, inquiring who was without, was answered, A Herald."
22,11.burg_von_otranto_1406_librivox,00005-otranto_23.flac,00005-f000022,1.39412,Von wem? fragte er weiter.,From whom? said he.
23,11.burg_von_otranto_1406_librivox,00005-otranto_24.flac,00005-f000023,0.938095,"Von dem Ritter des Riesensäbels, sprach der Herold; zu dem muß ich reden, der unrechtmäßig Otranto besitzt.","From the Knight of the Gigantic Sabre, said the Herald; and I must speak with the usurper of Otranto."
24,11.burg_von_otranto_1406_librivox,00005-otranto_25.flac,00005-f000024,0.8874360000000001,"Geronimo kam zu dem Fürsten zurück, und unterließ nicht, ihm die Bothschaft in den Ausdrücken, wie er sie empfangen hatte, auszurichten.","Jerome returned to the Prince, and did not fail to repeat the message in the very words it had been uttered."
25,11.burg_von_otranto_1406_librivox,00005-otranto_26.flac,00005-f000025,0.761739,"Die ersten Worte fielen Manfred fürchterlich auf, aber der Vorwurf des unrechtmässigen Besitzes, fachte seine Wuth wieder an, und belebte seinen Muth aufs neue.","The first sounds struck Manfred with terror; but when he heard himself styled usurper, his rage rekindled, and all his courage revived."
26,11.burg_von_otranto_1406_librivox,00005-otranto_27.flac,00005-f000026,0.516795,"Unrechtmäßig! rief er wer ist der Unverschämte, der meine Rechte anfechten darf?",Usurper!insolent villain! cried he; who dares to question my title?
27,11.burg_von_otranto_1406_librivox,00005-otranto_28.flac,00005-f000027,0.464,"Sie Vater, dies ist keine Mönchsarbeit, ich selbst will mich dem Uebermüthigen entgegen stellen.","Retire, Father; this is no business for Monks: I will meet this presumptuous man myself."
28,11.burg_von_otranto_1406_librivox,00005-otranto_29.flac,00005-f000028,0.7695649999999999,"Sie in Ihr Kloster, und bereiten sich, mir die Prinzessin zurück zu schicken.",Go to your convent and prepare the Princess's return.
29,11.burg_von_otranto_1406_librivox,00005-otranto_30.flac,00005-f000028,0.13455899999999998,"Ihr Sohn bleibt hier, als Geisel Ihrer Treue.",Go to your convent and prepare the Princess's return.
30,11.burg_von_otranto_1406_librivox,00005-otranto_31.flac,00005-f000028,0.13455899999999998,Von Ihren Gehorsam hängt sein Leben ab.,<MERGE> Go to your convent and prepare the Princess's return.
31,11.burg_von_otranto_1406_librivox,00005-otranto_32.flac,00005-f000029,0.5441560000000001,"Guter Gott! gnädiger Herr! rief Geronimo, vor einem Augenblick vergaben",Your son shall be a hostage for your fidelity: his life depends on your obedience.
32,11.burg_von_otranto_1406_librivox,00005-otranto_33.flac,00005-f000030,0.750857,Ihre Hoheit meinen Sohn unbedingt: haben Sie sobald der Zeichen des Himmels vergessen?,"Good heaven! my Lord, cried Jerome, your Highness did but this instant freely pardon my childhave you so soon forgot the interposition of heaven?"
33,11.burg_von_otranto_1406_librivox,00005-otranto_34.flac,00005-f000031,0.3835,"Der Himmel, erwiederte Manfred, sendet keinen Herold, die Rechte eines gesetzmäßigen Fürsten in Anspruch zu nehmen.","Heaven, replied Manfred, does not send Heralds to question the title of a lawful Prince."
34,11.burg_von_otranto_1406_librivox,00005-otranto_35.flac,00005-f000032,0.707043,"Ich zweifle sogar, ob er einem Klosterbruder aufträgt, seinen Willen kund zu thun; aber das ist Ihre Sache, nicht die meinige.","I doubt whether it even notifies its will through Friarsbut that is your affair, not mine."
35,11.burg_von_otranto_1406_librivox,00005-otranto_36.flac,00005-f000033,0.862691,"Jetzt wissen Sie meinen Willen, und bringen Sie mir die Prinzessin nicht zurück, so rettet kein vorlauter Herold Ihren Sohn.","At present you know my pleasure; and it is not a saucy Herald that shall save your son, if you do not return with the Princess."
36,11.burg_von_otranto_1406_librivox,00005-otranto_37.flac,00005-f000034,0.327273,"Vergeblich versuchte der ehrwürdige Greis, etwas hierauf zu erwiedern.",It was in vain for the holy man to reply.
