,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_0.flac,00018-f000001,0.361296,"Kakambo gab seinem Wirthe seine volle Neugier zu erkennen; der aber sprach: Ich bin nur ein unwissender Mann und befinde mich wohl dabei; allein wir haben hier einen alten Herrn, der sich vom Hofe zurückgezogen hat und der für den bestunterrichteten und zugleich für den mitheilsamsten Mann im ganzen Reiche gilt.","Cacambo expressed his curiosity to the landlord, who made answer: I am very ignorant, but not the worse on that account."
1,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_1.flac,00018-f000003,0.234375,Sogleich führte er Kakambo zu diesem Greise.,At once he took Cacambo to the old man.
2,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_2.flac,00018-f000003,0.628125,Kandid spielte hier nur die zweite Rolle und begleitete seinen Diener.,At once he took Cacambo to the old man.
3,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_3.flac,00018-f000005,0.541578,"Sie traten in ein sehr einfaches Haus, denn die Thür war nur von Silber und das Täfelwerk in den Zimmern nur von Gold, dabei aber von so geschmackvoller Arbeit, daß auch das reichste Getäfel es nicht verdunkelt hätte.","They entered a very plain house, for the door was only of silver, and the ceilings were only of gold, but wrought in so elegant a taste as to vie with the richest."
4,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_4.flac,00018-f000006,0.678496,"Die Wände des Vorzimmers waren zwar nur mit Rubinen und Smaragden bekleidet, aber Alles war so trefflich geordnet und eingerichtet, daß man darüber die fast übertriebene Einfachheit des Stoffs völlig vergaß.","The antechamber, indeed, was only encrusted with rubies and emeralds, but the order in which everything was arranged made amends for this great simplicity."
5,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_5.flac,00018-f000007,-0.0487273,Der alte Herr empfing die beiden Fremden auf einem mit Kolibrifedern gepolsterten Sopha und ließ ihnen Liqueure in diamantnen Gefäßen vorsetzen.,"The old man received the strangers on his sofa, which was stuffed with hummingbirds' feathers, and ordered his servants to present them with liqueurs in diamond goblets; after which he satisfied their curiosity in the following terms: I am now one hundred and seventytwo years old, and I learnt of my late father, Master of the Horse to the King, the amazing revolutions of Peru, of which he had been an eyewitness."
6,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_6.flac,00018-f000007,-0.0487273,Hierauf befriedigte er ihre Neugier folgendermaßen.,"<MERGE> The old man received the strangers on his sofa, which was stuffed with hummingbirds' feathers, and ordered his servants to present them with liqueurs in diamond goblets; after which he satisfied their curiosity in the following terms: I am now one hundred and seventytwo years old, and I learnt of my late father, Master of the Horse to the King, the amazing revolutions of Peru, of which he had been an eyewitness."
7,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_7.flac,00018-f000006,0.533233,"Ich bin 172 Jahre alt und erfuhr von meinem seligen Vater, der Stallmeister des Königs war, die merkwürdigen Revolutionen Peru's, wovon er Augenzeuge gewesen.","The antechamber, indeed, was only encrusted with rubies and emeralds, but the order in which everything was arranged made amends for this great simplicity."
8,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_8.flac,00018-f000008,0.5407270000000001,"Das Reich, worin wir uns befinden, ist der Stammsitz der Inka's, die es höchst unkluger Weise verließen, um einen Theil der Welt zu unterjochen, und die zuletzt von den Spaniern vernichtet wurden.","The kingdom we now inhabit is the ancient country of the Incas, who quitted it very imprudently to conquer another part of the world, and were at length destroyed by the Spaniards."
9,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_9.flac,00018-f000009,0.505686,"Die Fürsten von ihrer Familie, die in ihrem Geburtslande blieben, waren weiser.","More wise by far were the princes of their family, who remained in their native country; and they ordained, with the consent of the whole nation, that none of the inhabitants should ever be permitted to quit this little kingdom; and this has preserved our innocence and happiness."
10,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_10.flac,00018-f000008,0.534,"Sie befahlen im Einverständniß mit dem ganzen Volke, daß kein Eingeborner jemals unser kleines Reich verlassen sollte, und diesem Gesetze verdanken wir die Fortdauer unserer Unschuld und unserer Glückseligkeit.","The kingdom we now inhabit is the ancient country of the Incas, who quitted it very imprudently to conquer another part of the world, and were at length destroyed by the Spaniards."
11,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_11.flac,00018-f000011,0.338499,"Den Spaniern war eine dunkle Kunde von unserm Lande zu Ohren gekommen; sie nannten es El Dorado; ja ein Engländer, der Ritter Raleigh, kam sogar vor etwa hundert Jahren ziemlich in unsere Nähe.","The conversation was long: it turned chiefly on their form of government, their manners, their women, their public entertainments, and the arts."
12,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_12.flac,00018-f000010,0.613854,"Allein in den uns umgebenden unübersteiglichen Felsen und Abgründen fanden wir bis jetzt einen sichern Schutz gegen die Raubgier der europäischen Nationen, die mit unbegreiflicher Wuth auf die Kieselsteine und den Koth unseres Landes versessen sind, und die uns, um zum Besitz desselben zu gelangen, bis auf den letzten Mann niedermachen würden.","The Spaniards have had a confused notion of this country, and have called it El Dorado; and an Englishman, whose name was Sir Walter Raleigh, came very near it about a hundred years ago; but being surrounded by inaccessible rocks and precipices, we have hitherto been sheltered from the rapaciousness of European nations, who have an inconceivable passion for the pebbles and dirt of our land, for the sake of which they would murder us to the last man."
13,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_13.flac,00018-f000013,0.876923,Die Unterredung dauerte lange.,The old man reddened a little.
14,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_15.flac,00018-f000016,0.677365,"Endlich ließ Kandid, dessen Steckenpferd noch immer die Metaphysik war, durch Kakambo den Alten fragen, ob es in dem Lande eine Religion gebe.","Cacambo humbly asked, What was the religion in El Dorado?"
15,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_16.flac,00018-f000017,0.971053,Der Greis erröthete.,The old man reddened again.
16,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_17.flac,00018-f000014,0.615,"Wie! sprach er, könnt Ihr daran zweifeln?","How then, said he, can you doubt it?"
17,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_18.flac,00018-f000019,0.520084,"Haltet Ihr uns für Undankbare?.Kakambo fragte hierauf bescheiden, zu welcher Religion man sich in Eldorado bekenne.","We have, I believe, the religion of all the world: we worship God night and morning."
18,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_19.flac,00018-f000015,0.207692,Der Alte erröthete abermals.,Do you take us for ungrateful wretches?
19,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_21.flac,00018-f000020,0.164715,Betet,"Do you worship but one God? said Cacambo, who still acted as interpreter in representing Candide's doubts."
20,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_22.flac,00018-f000018,0.585484,"Ihr nur einen Gott an? fragte Kakambo, dessen Amt es war Kandid's Zweifel zu verdolmetschen.",Can there be two religions? said he.
21,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_23.flac,00018-f000021,0.425397,"Offenbar, sprach der Greis, kann es weder zwei, noch drei, noch vier Götter geben.","Surely, said the old man, there are not two, nor three, nor four."
22,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_24.flac,00018-f000022,0.482857,"Ich gestehe, daß Ihr Leute aus der andern Welt mitunter sehr seltsame Fragen thut.",I must confess the people from your side of the world ask very extraordinary questions.
23,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_25.flac,00018-f000021,0.567067,"Kandid wurde nicht müde, den guten Alten ausfragen zu lassen.","Surely, said the old man, there are not two, nor three, nor four."
24,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_26.flac,00018-f000023,0.263449,"Er wollte wissen, wie man in Eldorado zu Gott bete.",<MERGE> Candide was not yet tired of interrogating the good old man; he wanted to know in what manner they prayed to God in El Dorado.
25,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_27.flac,00018-f000023,0.372857,"Wir beten gar nicht, wenn das bitten heißt, erwiderte der gute, ehrwürdige Weise;",Candide was not yet tired of interrogating the good old man; he wanted to know in what manner they prayed to God in El Dorado.
26,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_28.flac,00018-f000024,-0.031638400000000004,"Gott gab uns Alles, was wir bedürfen.","<MERGE> We do not pray to Him, said the worthy sage; we have nothing to ask of Him; He has given us all we need, and we return Him thanks without ceasing."
27,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_29.flac,00018-f000024,-0.031638400000000004,Wir danken ihm ohne Unterlaß.,"<MERGE> We do not pray to Him, said the worthy sage; we have nothing to ask of Him; He has given us all we need, and we return Him thanks without ceasing."
28,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_30.flac,00018-f000025,0.67878,"Kandid war neugierig, eldorado'sche Priester zu sehen, und ließ fragen, wo sie wären.",Candide having a curiosity to see the priests asked where they were.
29,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_31.flac,00018-f000026,1.5,Der gute Alte lächelte.,The good old man smiled.
30,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_32.flac,00018-f000027,0.875758,"Meine Freunde, sprach er, wir Alle sind Priester.","My friend, said he, we are all priests."
31,110.kandid_oder_die_beste_welt_ak_librivox_64kb_mp3,00018-kandid_33.flac,00018-f000028,0.769159,"Der König und alle Hausväter singen jeden Morgen feierliche Dankgesänge, und fünf oder sechstausend Musiker begleiten sie.","The King and all the heads of families sing solemn canticles of thanksgiving every morning, accompanied by five or six thousand musicians."
