,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_0.flac,00003-f000002,0.767256,"Die schwere Verwundung Gregors, an der er über einen Monat litt der Apfel blieb, da ihn niemand zu entfernen wagte, als sichtbares Andenken im Fleische sitzen , schien selbst den Vater daran erinnert zu haben, daß Gregor trotz seiner gegenwärtigen traurigen und ekelhaften Gestalt ein Familienmitglied war, das man nicht wie einen Feind behandeln durfte, sondern demgegenüber es das Gebot der Familienpflicht war, den Widerwillen hinunterzuschlucken und zu dulden, nichts als zu dulden.","Gregor's serious wound, from which he suffered for over a month—since no one ventured to remove the apple, it remained in his flesh as a visible reminder—seemed by itself to have reminded the father that, in spite of his present unhappy and hateful appearance, Gregor was a member of the family, something one should not treat as an enemy, and that it was, on the contrary, a requirement of family duty to suppress one's aversion and to endurenothing else, just endure."
1,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_1.flac,00003-f000003,0.930682,"Und wenn nun auch Gregor durch seine Wunde an Beweglichkeit wahrscheinlich für immer verloren hatte und vorläufig zur Durchquerung seines Zimmers wie ein alter Invalide lange, lange Minuten brauchte an das Kriechen in der Höhe war nicht zu denken , so bekam er für diese Verschlimmerung seines Zustandes einen seiner Meinung nach vollständig genügenden Ersatz dadurch, daß immer gegen Abend die Wohnzimmertür, die er schon ein bis zwei Stunden vorher scharf zu beobachten pflegte, geöffnet wurde, so daß er, im Dunkel seines Zimmers liegend, vom Wohnzimmer aus unsichtbar, die ganze Familie beim beleuchteten Tische sehen und ihre Reden, gewissermaßen mit allgemeiner Erlaubnis, also ganz anders als früher, anhören durfte.","And if through his wound Gregor had now apparently lost for good his ability to move and for the time being needed many, many minutes to crawl across his room, like an aged invalid—so far as creeping up high was concerned, that was unimaginable—nevertheless for this worsening of his condition, in his opinion, he did get completely satisfactory compensation, because every day towards evening the door to the living room, which he was in the habit of keeping a sharp eye on even one or two hours beforehand, was opened, so that he, lying down in the darkness of his room, invisible from the living room, could see the entire family at the illuminated table and listen to their conversation, to a certain extent with their common permission, a situation quite different from what had happened before."
2,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_2.flac,00003-f000004,0.965104,"Freilich waren es nicht mehr die lebhaften Unterhaltungen der früheren Zeiten, an die Gregor in den kleinen Hotelzimmern stets mit einigem Verlangen gedacht hatte, wenn er sich müde in das feuchte Bettzeug hatte werfen müssen.","Of course, it was no longer the animated social interaction of former times, which Gregor in small hotel rooms had always thought about with a certain longing, when, tired out, he had had to throw himself into the damp bedclothes."
3,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_3.flac,00003-f000005,0.882292,Es ging jetzt meist nur sehr still zu.,For the most part what went on now was very quiet.
4,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_5.flac,00003-f000009,0.777907,"Manchmal wachte der Vater auf, und als wisse er gar nicht, daß er geschlafen habe, sagte er zur Mutter:","The sister, who had taken on a job as a salesgirl, in the evening studied stenography and French, so as perhaps later to obtain a better position."
5,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_6.flac,00003-f000010,0.6694439999999999,"Wie lange du heute schon wieder nähst! und schlief sofort wieder ein, während Mutter und Schwester einander müde zulächelten.","Sometimes the father woke up and, as if he was quite ignorant that he had been asleep, said to the mother How long you have been sewing today? and went right back to sleep, while the mother and the sister smiled tiredly to each other."
6,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_7.flac,00003-f000011,0.915551,"Mit einer Art Eigensinn weigerte sich der Vater, auch zu Hause seine Dieneruniform abzulegen; und während der Schlafrock nutzlos am Kleiderhaken hing, schlummerte der Vater vollständig angezogen auf seinem Platz, als sei er immer zu seinem Dienste bereit und warte auch hier auf die Stimme des Vorgesetzten.","With a sort of stubbornness the father refused to take off his servant's uniform even at home, and while his sleeping gown hung unused on the coat hook, the father dozed completely dressed in his place, as if he was always ready for his responsibility and even here was waiting for the voice of his superior."
7,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_8.flac,00003-f000012,1.01545,"Infolgedessen verlor die gleich anfangs nicht neue Uniform trotz aller Sorgfalt von Mutter und Schwester an Reinlichkeit, und Gregor sah oft ganze Abende lang auf dieses über und über fleckige, mit seinen stets geputzten Goldknöpfen leuchtende Kleid, in dem der alte Mann höchst unbequem und doch ruhig schlief.","As a result, in spite of all the care of the mother and sister, his uniform, which even at the start was not new, grew dirty, and Gregor looked, often for the entire evening, at this clothing, with stains all over it and with its gold buttons always polished, in which the old man, although very uncomfortable, slept peacefully nonetheless."
8,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_9.flac,00003-f000013,0.993946,"Sobald die Uhr zehn schlug, suchte die Mutter durch leise Zusprache den Vater zu wecken und dann zu überreden, ins Bett zu gehen, denn hier war es doch kein richtiger Schlaf, und diesen hatte der Vater, der um sechs Uhr seinen Dienst antreten mußte, äußerst nötig.","As soon as the clock struck ten, the mother tried gently encouraging the father to wake up and then persuading him to go to bed, on the ground that he couldn't get a proper sleep here and that the father, who had to report for service at six o'clock, really needed a good sleep."
9,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_10.flac,00003-f000014,0.765309,"Aber in dem Eigensinn, der ihn, seitdem er Diener war, ergriffen hatte, bestand er immer darauf, noch länger bei Tisch zu bleiben, trotzdem er regelmäßig einschlief, und war dann überdies nur mit der größten Mühe zu bewegen, den Sessel mit dem Bett zu vertauschen.","But in his stubbornness, which had gripped him since he had become a servant, he insisted always on staying even longer by the table, although he regularly fell asleep and then could only be prevailed upon with the greatest difficulty to trade his chair for the bed."
10,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_11.flac,00003-f000015,0.811686,"Da mochten Mutter und Schwester mit kleinen Ermahnungen noch so sehr auf ihn eindringen, viertelstundenlang schüttelte er langsam den Kopf, hielt die Augen geschlossen und stand nicht auf.","No matter how much the mother and sister might at that point work on him with small admonitions, for a quarter of an hour he would remain shaking his head slowly, his eyes closed, without standing up."
11,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_12.flac,00003-f000016,0.901251,"Die Mutter zupfte ihn am Ärmel, sagte ihm Schmeichelworte ins Ohr, die Schwester verließ ihre Aufgabe, um der Mutter zu helfen, aber beim Vater verfing das nicht.","The mother would pull him by the sleeve and speak flattering words into his ear; the sister would leave her work to help her mother, but that would not have the desired effect on the father."
12,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_13.flac,00003-f000017,0.546491,Er versank nur noch tiefer in seinen Sessel.,He would settle himself even more deeply in his arm chair.
13,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_14.flac,00003-f000018,0.260278,"Erst als ihn die Frauen unter den Achseln faßten, schlug er die Augen auf, sah abwechselnd die Mutter und die Schwester an und pflegte zu sagen:","Only when the two women grabbed him under the armpits would he throw his eyes open, look back and forth at the mother and sister, and habitually say This is a life."
14,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_15.flac,00003-f000018,0.260278,Das ist ein Leben.,"<MERGE> Only when the two women grabbed him under the armpits would he throw his eyes open, look back and forth at the mother and sister, and habitually say This is a life."
15,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_16.flac,00003-f000019,0.635,Das ist die Ruhe meiner alten Tage.,This is the peace and quiet of my old age.
16,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_17.flac,00003-f000020,1.23339,"Und auf die beiden Frauen gestützt, erhob er sich, umständlich, als sei er für sich selbst die größte Last, ließ sich von den Frauen bis zur Türe führen, winkte ihnen dort ab und ging nun selbständig weiter, während die Mutter ihr Nähzeug, die Schwester ihre Feder eiligst hinwarfen, um hinter dem Vater zu laufen und ihm weiter behilflich zu sein.","And propped up by both women, he would heave himself up elaborately, as if for him it was the greatest trouble, allow himself to be led to the door by the women, wave them away there, and proceed on his own from there, while the mother quickly threw down her sewing implements and the sister her pen in order to run after the father and help him some more."
17,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_18.flac,00003-f000021,0.8970870000000001,"Wer hatte in dieser abgearbeiteten und übermüdeten Familie Zeit, sich um Gregor mehr zu kümmern, als unbedingt nötig war?",In this overworked and exhausted family who had time to worry any longer about Gregor more than was absolutely necessary?
18,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_20.flac,00003-f000026,0.878182,"Es geschah sogar, daß verschiedene Familienschmuckstücke, welche früher die Mutter und die Schwester überglücklich bei Unterhaltungen und Feierlichkeiten getragen hatten, verkauft wurden, wie Gregor am Abend aus der allgemeinen Besprechung der erzielten Preise erfuhr.","It even happened that various pieces of family jewellery, which previously the mother and sister had been overjoyed to wear on social and festive occasions, were sold, as Gregor found out in the evening from the general discussion of the prices they had fetched."
19,120.verwandlung_mw_0811_librivox_64kb_mp3,00003-verwandlung_21.flac,00003-f000027,0.884416,"Die größte Klage war aber stets, daß man diese für die gegenwärtigen Verhältnisse allzu große Wohnung nicht verlassen konnte, da es nicht auszudenken war, wie man Gregor übersiedeln sollte.","But the greatest complaint was always that they could not leave this apartment, which was too big for their present means, since it was impossible to imagine how Gregor might be moved."
