,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,13.chancellor_1006_librivox,00032-chancellor_4.flac,00032-f000001,0.0428571,Ruhig Wetter.,XXXII.
1,13.chancellor_1006_librivox,00032-chancellor_5.flac,00032-f000002,0.517625,Bis zum Anbruch des Tages hat sich nichts Neues ereignet.,DECEMBER th to th.When night came we wrapped ourselves in our sails.
2,13.chancellor_1006_librivox,00032-chancellor_6.flac,00032-f000002,0.554642,"Auch die Herren Letourneur haben einen Theil der Nacht geschlafen, und noch einmal haben wir uns die Hand gedrückt.",DECEMBER th to th.When night came we wrapped ourselves in our sails.
3,13.chancellor_1006_librivox,00032-chancellor_7.flac,00032-f000003,-0.0778846,"Miß Herbey hat ebenfalls geschlummert, und ihre jetzt weniger angegriffenen Züge haben ihre gewohnte Ruhe wieder angenommen.","<MERGE> For my own part, worn out with the fatigue of the long watch in the topmast, I slept for several hours; M. Letourneur and Andre did the same, and Miss Herbey obtained sufficient rest to relieve the tired expression that her countenance had lately been wearing."
4,13.chancellor_1006_librivox,00032-chancellor_8.flac,00032-f000003,-0.0778846,Wir befinden uns unterhalb des fünfzehnten Breitengrades.,"<MERGE> For my own part, worn out with the fatigue of the long watch in the topmast, I slept for several hours; M. Letourneur and Andre did the same, and Miss Herbey obtained sufficient rest to relieve the tired expression that her countenance had lately been wearing."
5,13.chancellor_1006_librivox,00032-chancellor_9.flac,00032-f000003,-0.0778846,"Die Hitze am Tage ist sehr stark, und die Sonne glänzt ungewöhnlich hell.","<MERGE> For my own part, worn out with the fatigue of the long watch in the topmast, I slept for several hours; M. Letourneur and Andre did the same, and Miss Herbey obtained sufficient rest to relieve the tired expression that her countenance had lately been wearing."
6,13.chancellor_1006_librivox,00032-chancellor_10.flac,00032-f000004,0.704348,Ein heißer Dunst schwebt in der Atmosphäre.,The night passed quietly.
7,13.chancellor_1006_librivox,00032-chancellor_11.flac,00032-f000005,0.54785,"Da der Wind nur stoßweise auftritt, so hängt das Segel während der Ruhepausen, die immer länger werden, schlaff am Maste.","As the raft was not very heavily laden the waves did not break over it at all, and we were consequently able to keep ourselves perfectly dry."
8,13.chancellor_1006_librivox,00032-chancellor_12.flac,00032-f000006,0.16903800000000002,"Robert Kurtis und der Bootsmann wollen aus gewissen nur den Seeleuten verständlichen Zeichen erkennen, daß eine Strömung von zwei bis drei Meilen in der Stunde uns nach Westen zu weiter trägt.","To say the truth, it was far better for us that the sea should remain somewhat boisterous, for any diminution in the swell of the waves would indicate that; the wind had dropped, and it was with a feeling of regret that when the morning came I had to note down weather calm in my journal."
9,13.chancellor_1006_librivox,00032-chancellor_13.flac,00032-f000006,0.16903800000000002,Das wäre ein sehr günstiger Umstand der unsere Ueberfahrt merklich abkürzen könnte.,"<MERGE> To say the truth, it was far better for us that the sea should remain somewhat boisterous, for any diminution in the swell of the waves would indicate that; the wind had dropped, and it was with a feeling of regret that when the morning came I had to note down weather calm in my journal."
