,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,18.undine_1503_librivox,00016-undine_0.flac,00016-f000001,0.562941,"Soll man sagen, leider! oder zum Glück! daß es mit unsrer Trauer keinen rechten Bestand hat?","Shall we say it is well or ill, that our sorrow is of such short duration?"
1,18.undine_1503_librivox,00016-undine_1.flac,00016-f000002,0.712854,"Ich meine, mit unsrer so recht tiefen und aus dem Borne des Lebens schöpfenden Trauer, die mit dem verlornen Geliebten so eines wird, daß er ihr nicht mehr verloren ist und sie ein geweihtes Priestertum an seinem Bilde durch das ganze Leben durchführen will, bis die Schranke, die ihm gefallen ist, auch uns zerfällt!","I mean that deep sorrow which affects the very wellspring of our life, which becomes so one with the lost objects of our love that they are no longer lost, and which enshrines their image as a sacred treasure, until that final goal is reached which they have reached before us!"
2,18.undine_1503_librivox,00016-undine_2.flac,00016-f000003,0.603668,"Freilich bleiben wohl gute Menschen wirklich solche Priester, aber es ist doch nicht die erste, rechte Trauer mehr.","It is true that many men really maintain these sacred memories, but their feeling is no longer that of the first deep grief."
3,18.undine_1503_librivox,00016-undine_4.flac,00016-f000006,0.87,"Leider, daß es mit unsrer Trauer keinen rechten Bestand hat!.Der Herr von Ringstetten erfuhr das auch; ob zu seinem Heile, werden wir im Verfolg dieser Geschichte hören.","The lord of Ringstetten experienced this whether for his good, we shall hear in the sequel to this history."
4,18.undine_1503_librivox,00016-undine_5.flac,00016-f000007,0.772115,"Anfänglich konnte er nichts als immer recht bitterlich weinen, wie die arme, freundliche Undine geweint hatte, als er ihr den blanken Schmuck aus der Hand riß, mit dem sie alles so schön und gut machen wollte.","At first he could do nothing but weep, and that as bitterly as the poor gentle Undine had wept when he had torn from her hand that brilliant ornament with which she had wished to set everything to rights."
5,18.undine_1503_librivox,00016-undine_6.flac,00016-f000008,0.723684,"Und dann streckte er die Hand aus, wie sie es getan hatte, und weinte immer wieder von neuem, wie sie.","And then he would stretch out his hand, as she had done, and would weep again, like her."
6,18.undine_1503_librivox,00016-undine_7.flac,00016-f000009,0.638126,"Er hegte die heimliche Hoffnung, endlich auch ganz in Tränen zu verrinnen, und ist nicht selbst manchem von uns andern in großem Leide der ähnliche Gedanke mit schmerzender Lust durch den Sinn gezogen?","He cherished the secret hope that he might at length dissolve in tears; and has not a similar hope passed before the mind of many a one of us, with painful pleasure, in moments of great affliction?"
7,18.undine_1503_librivox,00016-undine_8.flac,00016-f000010,0.75973,"Bertalda weinte mit, und sie lebten lange ganz still beieinander auf Burg Ringstetten, Undines Andenken feiernd und der ehemaligen Neigung fast gänzlich vergessen habend.","Bertalda wept also, and they lived a long whip quietly together at Castle Ringstetten, cherishing Undine's memory, and almost wholly forgetful of their former attachment to each other."
8,18.undine_1503_librivox,00016-undine_9.flac,00016-f000011,1.01873,"Dafür kam auch um diese Zeit oftmals die gute Undine zu Huldbrands Träumen; sie streichelte ihn sanft und freundlich und ging dann stillweinend wieder fort, so daß er im Erwachen oftmals nicht recht wußte, wovon seine Wangen so naß waren; kam es von ihren oder bloß von seinen Tränen?","And, therefore, the good Undine often visited Huldbrand in his dreams; caressing him tenderly and kindly, and then going away, weeping silently, so that when he awoke he often scarcely knew why his cheeks were so wet; whether they had been bathed with her tears, or merely with his own?"
9,18.undine_1503_librivox,00016-undine_10.flac,00016-f000012,0.600068,"Die Traumgesichte wurden aber mit der Zeit seltner, der Gram des Ritters matter, und dennoch hätte er vielleicht nie in seinem Leben einen andern Wunsch gehegt, als so stille fort Undinens zu gedenken und von ihr zu sprechen, wäre nicht der alte Fischer unvermutet auf dem Schloß erschienen und hätte Bertalden nun alles Ernstes als sein Kind zurückegeheischt.","These dreamvisions became, however, less frequent as time passed on, and the grief of the knight was less acute; still he would probably have cherished no other wish than thus to think calmly of Undine and to talk of her, had not the old fisherman appeared one day unexpectedly at the castle, and sternly insisted on Bertalda's returning with him as his child."
