,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_0.flac,00010-f000002,0.745697,"Es ist allgemein bekannt, daß Indien, das große umgekehrte Dreieck, dessen Grundlinie im Norden, die Spitze im Süden liegt einen Flächeninhalt von vierzehnhunderttausend Quadratmeilen enthält, auf welchem eine Bevölkerung von hundertundachtzig Millionen Bewohnern ungleichmäßig verbreitet ist.","Everybody knows that the great reversed triangle of land, with its base in the north and its apex in the south, which is called India, embraces fourteen hundred thousand square miles, upon which is spread unequally a population of one hundred and eighty millions of souls."
1,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_1.flac,00010-f000003,0.942404,"Die britische Regierung übt über einen Theil dieses unermeßlichen Landes eine wirkliche Herrschaft aus, hält einen Generalgouverneur zu Calcutta, Gouverneure zu Madras, Bombay, in Bengalen, und einen Stellvertreter desselben zu Agra.","The British Crown exercises a real and despotic dominion over the larger portion of this vast country, and has a governor general stationed at Calcutta, governors at Madras, Bom bay, and in Bengal, and a lieutenantgovernor at Agra."
2,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_2.flac,00010-f000004,1.22819,Aber das eigentlich englische Indien umfaßt nur einen Flächeninhalt von siebenhunderttausend Quadratmeilen und eine Bevölkerung von hundert bis hundertundzehn Millionen Einwohnern.,"But British India, properly so called, only embraces seven hundred thousand square miles, and a population of from one hundred to one hundred and ten millions of inhabitants."
3,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_5.flac,00010-f000010,0.6762819999999999,"Sie annectirte sich nach und nach die verschiedenen Provinzen, welche sie den Rajahs um den Preis von Renten abkaufte, die sie wenig oder gar nicht entrichtete; sie ernannte ihren Generalgouverneur und alle von ihm verwendeten Civil und Militärpersonen; aber jetzt besteht sie nicht mehr, und die englischen Besitzungen in Indien stehen direct unter der Krone.","It gradually annexed province after province, purchasing them of the native chiefs, whom it seldom paid, and appointed the governorgeneral and his subordinates, civil and military."
4,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_6.flac,00010-f000011,0.461162,"Daher sind auch das Aussehen, die Sitten und ethnographischen Eintheilungen der Halbinsel in einer steten Umbildung begriffen.","But the East India Company has now passed away, leaving the British possessions in India directly under the control of the Crown."
5,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_7.flac,00010-f000012,0.352321,"Sonst machte man dort mit allen uralten Transportmitteln seine Reise, zu Fuß und zu Roß, im Karren, im Schubwagen, auf den Schultern eines Mannes, im Tragsessel, in der Kutsche etc.","The aspect of the country, as well as the manners and distinctions of race, is daily changing."
6,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_8.flac,00010-f000013,0.9258620000000001,"Jetzt fahren Dampfboote mit größter Schnelligkeit auf dem Indus und Ganges, und eine Eisenbahn, welche Indien der ganzen Breite nach durchzieht und sich seitwärts verzweigt, setzt Bombay binnen nur drei Tagen in Verbindung mit Calcutta.","Formerly one was obliged to travel in India by the old cumbrous methods of going on foot or on horseback, in palanquins or unwieldy coaches; now, fast steamboats ply on the Indus and the Ganges, and a great railway, with branch lines joining the main line at many points on its route, traverses the peninsula from Bombay to Calcutta in three days."
7,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_9.flac,00010-f000014,0.874468,Diese Eisenbahn zieht nicht in gerader Linie durch Indien.,This railway does not run in a direct line across India.
8,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_10.flac,00010-f000015,0.643949,"Die directe Entfernung beträgt nur tausend bis elfhundert Meilen, und die Züge würden bei einer mittlern Geschwindigkeit nur drei Tage brauchen, sie zu durchmessen; aber diese Entfernung wird mindestens um ein Drittheil durch die Krümmung vermehrt, welche die Bahn durch eine Abschweifung bis Allahabad im Norden der Halbinsel beschreibt.","The distance between Bombay and Cal cutta, as the bird flies, is only from one thousand to eleven hundred miles; but the deflections of the road increase this distance by more than a third."
9,23.reise_um_die_erde_in_80_tagen_1510_librivox,00010-in80tagen_11.flac,00010-f000016,0.13683499999999998,Die große vorderindische Eisenbahn nimmt in ihren Hauptpunkten folgende Richtung.,"The general route of the Great Indian Peninsula Rail way is as follows: — Leaving Bombay, it passes through Salcette, crossing to the continent opposite Tannah, goes ever the chain of the Western Ghauts, runs thence north AROUND THE WORLD IN EIGHTY DAYS. east as far as Burhampoor, skirts the nearly independent territory of Bundelcund, ascends to Allahabad, turns thence eastwardly, meeting the Ganges at Benares, then departs from the river a little, and, descending southeastward by Burdivan and the French town of Chandernagor, has its terminus at Calcutta."
