,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,36.schimmelreiter_storm_librivox_64kb_mp3,1_0.flac,00001-f000004,0.700633,"Was ich zu berichten beabsichtige, ist mir vor reichlich einem halben Jahrhundert im Hause meiner Urgroßmutter, der alten Frau Senator Feddersen, kundgeworden, während ich, an ihrem Lehnstuhl sitzend, mich mit dem Lesen eines in blaue Pappe eingebundenen Zeitschriftenheftes beschäftigte; ich vermag mich nicht mehr zu entsinnen, ob von den Leipziger oder von Pappes Hamburger Lesefrüchten.","What I am about to tell I learned nearly half a century ago in the house of my greatgrandmother, old Madame Fedderson, widow of the senator, while I was sitting beside her armchair, busy reading a magazine bound in blue pasteboardI don't remember whether it was a copy of the Leipzig or of Pappes Hamburger Lesefrüchte."
1,36.schimmelreiter_storm_librivox_64kb_mp3,1_1.flac,00001-f000005,0.652869,"Noch fühl ich es gleich einem Schauer, wie dabei die linde Hand der über Achtzigjährigen mitunter liebkosend über das Haupthaar ihres Urenkels hinglitt.",I still remember with a shudder how meanwhile the light hand of the past eightyyearold woman glided tenderly over the hair of her greatgrandson.
2,36.schimmelreiter_storm_librivox_64kb_mp3,1_3.flac,00001-f000008,0.829441,"Es war im dritten Jahrzehnt unseres Jahrhunderts, an einem Oktobernachmittag so begann der damalige Erzähler , als ich bei starkem Unwetter auf einem nordfriesischen Deich entlangritt.","It was in the third decade of our century, on an October afternoonthus began the storyteller of that timethat I rode through a mighty storm along a North Frisian dike."
3,36.schimmelreiter_storm_librivox_64kb_mp3,1_5.flac,00001-f000012,0.716144,"Ich leugne nicht, ich wünschte mich mitunter in sicheres Quartier.","Nightfall had begun, and already I could no longer discern the hoof of my horse with any certainty."
4,36.schimmelreiter_storm_librivox_64kb_mp3,1_6.flac,00001-f000013,0.936059,"Das Wetter dauerte jetzt in den dritten Tag, und ich hatte mich schon über Gebühr von einem mir besonders lieben Verwandten auf seinem Hofe halten lassen, den er in einer der nördlicheren Harden besaß.","I had met no human soul, heard nothing but the screaming of the birds when they almost grazed me and my faithful mare with their long wings, and the raging of the wind and water."
5,36.schimmelreiter_storm_librivox_64kb_mp3,1_8.flac,00001-f000017,0.917647,"Und wirklich, einen Augenblick, als eine schwarze Wolkenschicht es pechfinster um mich machte und gleichzeitig die heulenden Böen mich samt meiner Stute vom Deich herabzudrängen suchten, fuhr es mir wohl durch den Kopf.","I had business in the city which was even now a few hours' ride to the south, and in spite of all the persuasions of my cousin and his kind wife, in spite of the Perinette and Grand Richard apples still to be tried, I had ridden away."
6,36.schimmelreiter_storm_librivox_64kb_mp3,1_9.flac,00001-f000019,0.207692,Sei kein Narr!,You will turn back.
7,36.schimmelreiter_storm_librivox_64kb_mp3,1_10.flac,00001-f000022,0.55,Kehr um und setz dich zu deinen Freunden ins warme Nest.,Turn back and stay with your friends in their warm nest.
8,36.schimmelreiter_storm_librivox_64kb_mp3,1_11.flac,00001-f000023,0.857208,"Dann aber fiel's mir ein, der Weg zurück war wohl noch länger als der nach meinem Reiseziel; und so trabte ich weiter, den Kragen meines Mantels um die Ohren ziehend.","But then it occurred to me that the way back would be longer than the way to my destination; and so I trotted on, pulling the collar of my coat up over my ears."
9,36.schimmelreiter_storm_librivox_64kb_mp3,1_12.flac,00001-f000024,0.822237,"Jetzt aber kam auf dem Deiche etwas gegen mich heran; ich hörte nichts; aber immer deutlicher, wenn der halbe Mond ein karges Licht herabließ, glaubte ich eine dunkle Gestalt zu erkennen, und bald, da sie näher kam, sah ich es, sie saß auf einem Pferde, einem hochbeinigen hageren Schimmel; ein dunkler Mantel flatterte um ihre Schultern, und im Vorbeifliegen sahen mich zwei brennende Augen aus einem bleichen Antlitz an.","But now something came toward me upon the dike; I heard nothing, but when the half moon shed its spare light, I believed that I could discern more and more clearly a dark figure, and soon, as it drew nearer, I saw that it sat on a horse, on a longlegged, haggard, white horse; a dark cloak was waving round its shoulders, and as it flew past me, two glowing eyes stared at me out of a pale face."
10,36.schimmelreiter_storm_librivox_64kb_mp3,1_13.flac,00001-f000025,0.272727,Wer war das?,Who was that?
11,36.schimmelreiter_storm_librivox_64kb_mp3,1_14.flac,00001-f000026,0.171429,Was wollte der?,What did that man want?
12,36.schimmelreiter_storm_librivox_64kb_mp3,1_16.flac,00001-f000033,0.78,Etwas zögernd ritt ich hintendrein.,"Besides, I saw nothing more of him."
13,36.schimmelreiter_storm_librivox_64kb_mp3,1_17.flac,00001-f000034,0.874468,"Als ich jene Stelle erreicht hatte, sah ich hart am Deich im Kooge unten das Wasser einer großen Wehle blinken so nennen sie dort die Brüche, welche von den Sturmfluten in das Land gerissen werden und die dann meist als kleine, aber tiefgründige Teiche stehen bleiben.","Something else I saw now, however, which I greeted with pleasure: before me, from out of the Koog, a multitude of little scattered lights were glimmering up to me; they seemed to come from some of the rambling Frisian houses that lay isolated on more or less high mounds."
14,36.schimmelreiter_storm_librivox_64kb_mp3,1_21.flac,00001-f000038,0.784848,"Ich band das meine an einen derselben und überwies es dann dem Knechte, der mir beim Eintritt in den Flur entgegenkam:","I could easily see that it was a tavern, for in front of the windows I spied the socalled ricks, beams resting on two posts with great iron rings for hitching the cattle and horses that stopped there."
15,36.schimmelreiter_storm_librivox_64kb_mp3,1_22.flac,00001-f000041,0.451597,"Ist hier Versammlung? frug ich ihn, da mir jetzt deutlich ein Geräusch von Menschenstimmen und Gläserklirren aus der Stubentür entgegendrang.","I asked him, for now a noise of voices and clicking glasses rose clearly from the room beyond the door."
16,36.schimmelreiter_storm_librivox_64kb_mp3,1_23.flac,00001-f000042,0.845169,"Is wull so wat, entgegnete der Knecht auf plattdeutsch und ich erfuhr nachher, daß dieses neben dem Friesischen hier schon seit über hundert Jahren im Schwange gewesen sei , Diekgraf und Gevollmächtigten un wecke von de annern Interessenten!","Aye, something of the sort, the servant replied in Plattdeutsch, and later I learned that this dialect had been in full swing here, as well as the Frisian, for over a hundred years; the dikemaster and the overseers and the other landholders!"
17,36.schimmelreiter_storm_librivox_64kb_mp3,1_25.flac,00001-f000044,0.667787,"Als ich eintrat, sah ich etwa ein Dutzend Männer an einem Tische sitzen, der unter den Fenstern entlanglief, eine Punschbowle stand darauf, und ein besonders stattlicher Mann schien die Herrschaft über sie zu führen.","When I entered, I saw about a dozen men sitting round a table that extended beneath the windows; a punch bowl stood upon it; and a particularly stately man seemed to dominate the party."
18,36.schimmelreiter_storm_librivox_64kb_mp3,1_28.flac,00001-f000052,0.725,"Und ehe ich meine Bestellung bei dem Wirte machen konnte, war schon ein dampfendes Glas mir hingeschoben.","And before I could give my order to the host, a steaming glass was pushed in front of me."
19,36.schimmelreiter_storm_librivox_64kb_mp3,1_29.flac,00001-f000053,0.559963,"Ich erfuhr bald, daß mein freundlicher Nachbar der Deichgraf sei; wir waren ins Gespräch gekommen, und ich hatte begonnen, ihm meine seltsame Begegnung auf dem Deiche zu erzählen.","I soon found out that my pleasant neighbour was the dikemaster; we entered into conversation, and I began to tell him about my strange encounter on the dike."
20,36.schimmelreiter_storm_librivox_64kb_mp3,1_30.flac,00001-f000052,0.707738,"Er wurde aufmerksam, und ich bemerkte plötzlich, daß alles Gespräch umher verstummt war.","And before I could give my order to the host, a steaming glass was pushed in front of me."
21,36.schimmelreiter_storm_librivox_64kb_mp3,1_31.flac,00001-f000055,0.421593,"Der Schimmelreiter! rief einer aus der Gesellschaft, und eine Bewegung des Erschreckens ging durch die übrigen.","The rider on the white horse, cried one of the company and a movement of fright stirred the others."
22,36.schimmelreiter_storm_librivox_64kb_mp3,1_32.flac,00001-f000056,0.821739,Der Deichgraf war aufgestanden.,The dikemaster had risen.
23,36.schimmelreiter_storm_librivox_64kb_mp3,1_33.flac,00001-f000057,0.829429,"Ihr braucht nicht zu erschrecken, sprach er über den Tisch hin; das ist nicht bloß für uns; Anno 17 hat es auch denen drüben gegolten; mögen sie auf alles vorgefaßt sein!","You don't need to be afraid, he spoke across the table, that isn't meant for us only; in the year ' it was meant for them too; may they be ready for the worst!"
24,36.schimmelreiter_storm_librivox_64kb_mp3,1_36.flac,00001-f000062,1.12195,"Abseits hinter dem Ofen, ein wenig gebückt, saß ein kleiner hagerer Mann in einem abgeschabten schwarzen Röcklein; die eine Schulter schien ein wenig ausgewachsen.","Apart from the others, behind the stove, a small, haggard man in a little worn black coat sat somewhat bent over; one of his shoulders seemed a little deformed."
25,36.schimmelreiter_storm_librivox_64kb_mp3,1_37.flac,00001-f000063,0.982488,"Er hatte mit keinem Worte an der Unterhaltung der andern teilgenommen, aber seine bei dem spärlichen grauen Haupthaar noch immer mit dunklen Wimpern besäumten Augen zeigten deutlich, daß er nicht zum Schlaf hier sitze.","He had not taken part with a single word in the conversation of the others, but his eyes, fringed as they were with dark lashes, although the scanty hair on his head was grey, showed clearly that he was not sitting there to sleep."
26,36.schimmelreiter_storm_librivox_64kb_mp3,1_40.flac,00001-f000065,0.6384,"Ihr scherzet, Deichgraf! kam die etwas kränkliche Stimme des Schulmeisters hinter dem Ofen hervor, daß Ihr mir Euern dummen Drachen wollt zur Seite stellen!","You are joking, dikemaster! the somewhat feeble voice of the schoolmaster rose from behind the stove, if you want to compare me to your silly dragon!"
27,36.schimmelreiter_storm_librivox_64kb_mp3,1_41.flac,00001-f000066,0.767915,"Ja, ja, Schulmeister! erwiderte der andere, aber bei den Drachen sollen derlei Geschichten am besten in Verwahrung sein!","Yes, that's all right, schoolmaster! replied the other, but stories of that kind are supposed to be kept safest with dragons."
28,36.schimmelreiter_storm_librivox_64kb_mp3,1_43.flac,00001-f000070,0.790526,Dieser war inzwischen aus seiner Ofenecke hervorgekommen und hatte sich neben mir an den langen Tisch gesetzt.,The schoolmaster had meanwhile come forward from his corner by the stove and had sat down beside me at the long table.
29,36.schimmelreiter_storm_librivox_64kb_mp3,1_46.flac,00001-f000075,0.620308,"Ich muß Euch bitten, den nicht auszulassen, erwiderte ich; traut mir nur zu, daß ich schon selbst die Spreu vom Weizen sondern werde!","I must beg you not to leave the superstition out, I replied."
30,36.schimmelreiter_storm_librivox_64kb_mp3,1_47.flac,00001-f000077,0.959848,Der Alte sah mich mit verständnisvollem Lächeln an.,The old man looked at me with an appreciative smile.
