,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,54.weisse_naechte_1504_librivox,00001-weissenaechte_1.flac,00001-f000001,0.55,"Es war eine wunderbare Nacht, eine von den Nächten, die wir nur erleben, solange wir jung sind, freundlicher Leser.","FIRST NIGHT IT was a wonderful night, such a night as is only possible when we are young, dear reader."
1,54.weisse_naechte_1504_librivox,00001-weissenaechte_2.flac,00001-f000002,0.72406,"Der Himmel war so sternenreich, so heiter, daß man sich bei seinem Anblick unwillkürlich fragen mußte: können denn unter einem solchen Himmel überhaupt irgendwelche böse oder mürrische Menschen leben?","The sky was so starry, so bright that, looking at it, one could not help asking oneself whether illhumoured and capricious people could live under such a sky."
2,54.weisse_naechte_1504_librivox,00001-weissenaechte_3.flac,00001-f000003,0.384516,"So fragt man nur, wenn man jung ist, freundlicher Leser, wenn man sehr jung ist; doch möge der Herr Ihnen solche Fragen öfter eingeben.","That is a youthful question too, dear reader, very youthful, but may the Lord put it more frequently into your heart !"
3,54.weisse_naechte_1504_librivox,00001-weissenaechte_4.flac,00001-f000004,0.69458,"Da ich gerade von allerlei mürrischen und bösen Herrschaften spreche, muß ich an mein musterhaftes Betragen während des ganzen heutigen Tages denken.","Speaking of capricious and illhumoured people, I cannot help recalling my moral condition all that day."
4,54.weisse_naechte_1504_librivox,00001-weissenaechte_5.flac,00001-f000005,0.562013,Schon vom frühen Morgen an quälte mich ein seltsames Unlustgefühl.,From early morning I had been oppressed by a strange despondency.
5,54.weisse_naechte_1504_librivox,00001-weissenaechte_6.flac,00001-f000006,0.841799,"Es war mir plötzlich, als ob ich, Einsamer, von allen verlassen sei und als ob sich alle von mir lossagten.","It suddenly seemed to me that I was lonely, that every one was forsaking me and going away from me."
6,54.weisse_naechte_1504_librivox,00001-weissenaechte_8.flac,00001-f000008,0.916272,"Denn ich lebe schon seit acht Jahren in Petersburg und habe es bis heute nicht verstanden, Bekanntschaften zu machen.",For though I had been living almost eight years in Petersburg I had hardly an acquaintance.
7,54.weisse_naechte_1504_librivox,00001-weissenaechte_9.flac,00001-f000009,0.791176,Wozu brauche ich auch Bekanntschaften?,But what did I want with acquaintances ?
8,54.weisse_naechte_1504_librivox,00001-weissenaechte_10.flac,00001-f000010,0.739899,"Ich kenne auch so ganz Petersburg; darum hatte ich auch das Gefühl, von allen verlassen zu sein, als ganz Petersburg aufbrach und in die Sommerfrischen zog.",I was acquainted with all Peters burg as it was; that was why I felt as though they were all deserting me when all Petersburg packed up and went to its summer villa.
9,54.weisse_naechte_1504_librivox,00001-weissenaechte_11.flac,00001-f000011,0.726485,"Es war mir so schrecklich, allein zu bleiben, und darum irrte ich ganze drei Tage in der Stadt umher, von einem starken Unlustgefühl bedrückt und ohne zu begreifen, was mit mir vorging.","I felt afraid of being left alone, and for three whole days I wandered about the town in profound dejection, not know ing what to do with myself."
10,54.weisse_naechte_1504_librivox,00001-weissenaechte_12.flac,00001-f000012,0.978215,"Gehe ich auf den NewskijProspekt oder in einen Park, oder irre ich an den Kais entlang, nirgends treffe ich auch nur ein Gesicht von denen, die ich gewohnt war, das ganze Jahr hindurch an einer bestimmten Stelle zu einer bestimmten Stunde zu sehen.","Whether I walked in the Nevsky, went to the Gardens or sauntered on the embankment, there was not one face of those I had been accustomed to meet at the same time and place all the year."
11,54.weisse_naechte_1504_librivox,00001-weissenaechte_13.flac,00001-f000013,0.695,"Alle die Leute kennen mich natürlich nicht, aber ich kenne sie.","They, of course, do not know me, but I know them."
12,54.weisse_naechte_1504_librivox,00001-weissenaechte_14.flac,00001-f000014,0.787409,"Ich kenne sie ganz genau, ich habe ihre Gesichter studiert, und ich habe mein Vergnügen an ihnen, wenn sie vergnügt, und bin verstimmt, wenn sie mißvergnügt sind.","I know them intimately, I have almost made a study of their faces, and am delighted when they are gay, and downcast when they are under a cloud."
13,54.weisse_naechte_1504_librivox,00001-weissenaechte_15.flac,00001-f000015,0.8812059999999999,"Mit einem alten Männchen, dem ich jeden lieben Tag zu derselben Stunde an der Fontanka zu begegnen pflegte, bin ich beinahe befreundet.","I have almost struck up a friendship with one old man whom I meet every blessed day, at the same hour in Fontanka."
14,54.weisse_naechte_1504_librivox,00001-weissenaechte_16.flac,00001-f000016,0.835651,"Er hat ein so ernstes, nachdenkliches Gesicht, murmelt sich immer etwas in den Bart, schwenkt den linken Arm hin und her und trägt in der rechten Hand einen Knotenstock mit goldenem Knopf.","Such a grave, pensive coun tenance; he is alway whispering to himself and brandishing his B WHITE NIGHTS left arm, while in his right hand he holds a long gnarled stick with a gold knob."
15,54.weisse_naechte_1504_librivox,00001-weissenaechte_17.flac,00001-f000018,1.07959,Auch er kennt mich bereits und nimmt an mir großen Anteil.,"If I happen not to be at a certain time in the same spot in Fontanka, I am certain he feels disappointed."
16,54.weisse_naechte_1504_librivox,00001-weissenaechte_18.flac,00001-f000018,0.571304,"Ich bin überzeugt, daß er sehr verstimmt sein wird, wenn ich zur bestimmten Stunde an einer bestimmten Stelle der Fontanka nicht erscheine.","If I happen not to be at a certain time in the same spot in Fontanka, I am certain he feels disappointed."
17,54.weisse_naechte_1504_librivox,00001-weissenaechte_19.flac,00001-f000020,0.27665500000000004,"Darum sind wir nahe daran, einander zu grüßen; besonders, wenn wir beide gut aufgelegt sind. Als wir uns neulich ganze zwei Tage nicht gesehen hatten und uns am dritten Tage wieder trafen, griff ein jeder von uns nach seinem Hute; wir beherrschten uns aber noch zur rechten Zeit, ließen die Hände sinken und gingen mit teilnahmsvollen Blicken aneinander vorbei.","The other day, when we had not seen each other for two days and met on the third, we were actually touching our hats, but, realizing in time, dropped our hands and passed each other with a look of interest."
18,54.weisse_naechte_1504_librivox,00001-weissenaechte_20.flac,00001-f000021,0.531579,Auch unter den Häusern habe ich Bekannte.,I know the houses too.
19,54.weisse_naechte_1504_librivox,00001-weissenaechte_22.flac,00001-f000023,0.8,Wie geht es Ihnen?,How do you do ?
20,54.weisse_naechte_1504_librivox,00001-weissenaechte_24.flac,00001-f000025,0.343333,Oder: Wie ist Ihr Befinden?,"I am being redecorated tomorrow; or, I was almost burnt down and had such a fright, and so on."
21,54.weisse_naechte_1504_librivox,00001-weissenaechte_25.flac,00001-f000025,0.343333,"Was mich betrifft, so komme ich morgen in Reparatur!","<MERGE> I am being redecorated tomorrow; or, I was almost burnt down and had such a fright, and so on."
22,54.weisse_naechte_1504_librivox,00001-weissenaechte_26.flac,00001-f000026,0.625588,Oder: Ich wäre neulich um ein Haar verbrannt und bin mit ordentlichem Schrecken davongekommen usw.,"I have my favourites among them, some are dear friends; one of them intends to be treated by the architect this summer."
23,54.weisse_naechte_1504_librivox,00001-weissenaechte_27.flac,00001-f000027,0.485149,"Ich habe unter ihnen meine Lieblinge und gute Freunde; eines von ihnen hat die Absicht, sich diesen Sommer einer Kur bei einem Architekten zu unterziehen.",I shall go every day on purpose to see that the operation is not a failure.
24,54.weisse_naechte_1504_librivox,00001-weissenaechte_29.flac,00001-f000029,0.7742859999999999,Doch niemals vergesse ich die Geschichte mit einem reizenden hellrosa Häuschen.,But I shall never forget an incident with a very pretty little house of a light pink colour.
25,54.weisse_naechte_1504_librivox,00001-weissenaechte_30.flac,00001-f000030,0.972343,"Es war ein so liebes steinernes Häuschen, es lächelte mich immer so freundlich an und blickte so stolz auf seine plumpen Nachbarn, daß sich mir jedesmal, wenn ich vorbeiging, das Herz im Leibe freute.","It was such a charming little brick house, it looked so hospitably at me, and so proudly at its ungainly neighbours, that my heart rejoiced whenever I hap pened to pass it."
26,54.weisse_naechte_1504_librivox,00001-weissenaechte_31.flac,00001-f000031,0.820882,"Doch wie ich in der vorigen Woche vorbeigehe und meinen Freund anschaue, höre ich plötzlich seinen Jammerschrei:",Suddenly last week I walked along the st i and when I looked at my friend.
27,54.weisse_naechte_1504_librivox,00001-weissenaechte_33.flac,00001-f000033,0.184615,Diese Bösewichter!,The villains !
28,54.weisse_naechte_1504_librivox,00001-weissenaechte_34.flac,00001-f000034,0.15,Barbaren!,The barbarians !
29,54.weisse_naechte_1504_librivox,00001-weissenaechte_35.flac,00001-f000038,0.778261,"Nichts haben sie verschont: weder die Säulen, noch die Gesimse, und mein Freund wurde gelb wie ein Kanarienvogel.","So now you understand, reader, in what sense I am acquainted with all Petersburg."
30,54.weisse_naechte_1504_librivox,00001-weissenaechte_37.flac,00001-f000041,0.883647,"Nun verstehen Sie wohl, freundlicher Leser, auf welche Weise ich ganz Petersburg kenne.",For two evenings was puy.ling my brains to think what was;unks in my corner; why felt so un comfortable in it.
31,54.weisse_naechte_1504_librivox,00001-weissenaechte_38.flac,00001-f000042,0.5851850000000001,"Wie ich schon sagte, verzehrte ich mich drei Tage in Unruhe, bis ich endlich ihren Grund erriet.","And in jHrplexif y I scanned my grimy green walls, my ceiling covered witli a spider's web, the growth of wliich WHITE NIGHTS Matrona has so successfully encouraged."
32,54.weisse_naechte_1504_librivox,00001-weissenaechte_39.flac,00001-f000043,0.7255060000000001,"Auf der Straße war es mir ganz trüb zumute dieser fehlt, jener fehlt, und wo ist der und der hingeraten?, und auch zu Hause war es mir unbehaglich.","I looked over all my furniture, examined every chair, wondering whether the trouble lay there for if one chair is not standing in the same position as it stood the day before, I am not myself."
33,54.weisse_naechte_1504_librivox,00001-weissenaechte_40.flac,00001-f000044,0.619433,Zwei Abende suchte ich zu erraten: was fehlt mir in meinem Winkel?,"I looked at the win dow, but it was all in vain."
34,54.weisse_naechte_1504_librivox,00001-weissenaechte_41.flac,00001-f000045,0.5444439999999999,Warum ist es mir zu Hause so unbehaglich?,I was not a bit the better for it !
35,54.weisse_naechte_1504_librivox,00001-weissenaechte_42.flac,00001-f000046,0.432611,"Und ich betrachtete forschend meine grünen verrauchten Wände, die mit Spinngewebe, welches meine Matrjona mit großem Erfolg züchtete, behangene Decke, musterte alle Möbel, untersuchte jeden Stuhl und suchte dem Übel auf die Spur zu kommen; wenn bei mir nämlich auch nur ein Stuhl anders steht, als er gestern stand, bin ich ganz außer mir; ich schaute auch zum Fenster hinaus, doch alles war umsonst und brachte mir auch nicht die geringste Erleichterung! Ich entschloß mich sogar, Matrjona herbeizurufen und richtete an sie bei dieser Gelegenheit eine väterliche Ermahnung wegen des Spinngewebes und der sonstigen Unordnung; sie sah mich aber nur erstaunt an und ging, ohne auch nur ein Wort zu entgegnen, wieder fort, so daß das Spinngewebe auch heute noch an seinem Platz hängt.","I even bethought me to send for Matrona, and was giving her some fatherly admonitions in regard to the spider's web and sluttishness in general; but she simply stared at me in amaze ment and went away without saying a word, so that the spider's web is comfortably hanging in its place to this day."
36,54.weisse_naechte_1504_librivox,00001-weissenaechte_43.flac,00001-f000047,0.804545,Und erst heute früh kam ich endlich der Sache auf den Grund.,I only at last this morning realized what was wrong.
37,54.weisse_naechte_1504_librivox,00001-weissenaechte_44.flac,00001-f000048,0.18,Ach so!,Aie !
38,54.weisse_naechte_1504_librivox,00001-weissenaechte_45.flac,00001-f000049,0.188372,Sie brennen mir ja alle durch und ziehen aufs Land!,"Why, they are giving me the slip and making off to their summer villas !"
39,54.weisse_naechte_1504_librivox,00001-weissenaechte_48.flac,00001-f000051,0.587462,"Wenn irgendwo ein Fenster aufging, auf dem vorher zwei feine, zuckerweiße Finger getrommelt hatten, und ein hübsches junges Mädchen den Kopf aus dem Fenster hinaussteckte und einen Straßenhändler, der Blumen feilbot, heranrief, so stellte ich mir gleich vor, daß sie diese Blumen ganz ohne Zweck kaufte, das heißt gar nicht um sich in der dumpfen Stadtwohnung an ihnen und am Frühling zu ergötzen, und daß die ganze Familie sehr bald aufs Land ziehen und die Blumentöpfe mitnehmen würde.","If a window opened after delicate fingers, white as snow, had tapped upon the pane, and the head of a pretty girl was thrust out, calling to a streetseller with pots of flowers at once on the spot I fancied that those flowers were being bought not simply in order to enjoy the flowers and the spring in stuffy town lodgings, but because they would all be very soon moving into the country and could take the flowers with them."
40,54.weisse_naechte_1504_librivox,00001-weissenaechte_49.flac,00001-f000052,0.646799,"Und noch mehr als das: ich hatte auf diesem neuen und besondern Entdeckungsgebiet bereits solche Erfolge gemacht, daß ich nach dem bloßen Aussehen eines Menschen fehlerlos bestimmen konnte, in welcher Sommerfrische er wohnt.","What is more, I made such progress in my new peculiar sort of investigation that I could distinguish correctly from the mere air of each in what summer villa he was living."
41,54.weisse_naechte_1504_librivox,00001-weissenaechte_50.flac,00001-f000053,0.6752319999999999,"Die Bewohner der Stein und der Apothekerinsel oder der Peterhofer Landstraße zeichnen sich durch anerzogene gute Manieren, elegante Sommerkleidung und schöne Equipagen aus, in denen sie in die Stadt hineinfahren.","The inhabitants of Kamenny and Aptekarsky Islands or of the Peterhof Road were marked by the studied elegance of their manner, their fashionable summer suits, and the fine carriages in which they drove to town."
42,54.weisse_naechte_1504_librivox,00001-weissenaechte_52.flac,00001-f000054,0.83373,"Schließlich fühlte ich mich beschämt, beleidigt und traurig, weil ich nicht wußte, wohin und wozu ich aufs Land ziehen sollte.",Visitors to Pargolovo and places further away impressed one at first sight by their reasonable and dignified air; the tripper to Krestovsky Island could be recognized by his look of irrepressible gaiety.
