,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,67.frankenstein_de_1211_librivox,00007-frankenstein_0.flac,00007-f000002,1.08659,"Als ich siebzehn Jahre alt geworden war entschlossen sich meine Eltern, mich auf die Universität Ingolstadt zu schicken.","When I had attained the age of seventeen, my parents re solved that I should become a student at the university of Ingolstadt."
1,67.frankenstein_de_1211_librivox,00007-frankenstein_1.flac,00007-f000003,0.908771,"Ich wäre ganz gern auf der Genfer Hochschule geblieben, aber mein Vater hielt es für nützlicher, wenn ich, um meine Erziehung zu vollenden, auch mit den Sitten und Gebräuchen anderer Länder vertraut würde.","I had hitherto attended the schools of Geneva; but my father thought it necessary for the completion of my education, that I should be made acquainted with other cus toms than those of my native country."
2,67.frankenstein_de_1211_librivox,00007-frankenstein_2.flac,00007-f000004,0.73417,"Der Tag meiner Abreise wurde festgesetzt; aber ehe dieser herankam traf mich das erste Mißgeschick meines Lebens, das mich ergriff wie ein Omen meines kommenden Unglücks.","My departure was therefore fixed at an early date; but, before the day resolved upon could arrive, the first misfortune of my life occurred — an omen, as it were, of my future misery."
3,67.frankenstein_de_1211_librivox,00007-frankenstein_3.flac,00007-f000005,0.99,Elisabeth war an Scharlach erkrankt und schwebte in der äußersten Lebensgefahr.,"Elizabeth had caught the scarlet fever; but her illness was not severe, and she quickly recovered."
4,67.frankenstein_de_1211_librivox,00007-frankenstein_4.flac,00007-f000006,0.571579,"Wir hatten uns alle Mühe gegeben, meine Mutter zu überzeugen, daß die Pflege der Kranken eine große Gefahr für sie bedeute.","During her con finement, many arguments had been urged to persuade my mother to refrain from attending upon her."
5,67.frankenstein_de_1211_librivox,00007-frankenstein_5.flac,00007-f000007,0.407105,"Anfangs hatte sie sich unseren Bitten gefügt; als sie aber merkte, daß das Leben ihres Lieblings ernstlich bedroht war, ließ sie sich nicht mehr abhalten.","She had, at first, yielded to our entreaties; but when she heard that her favourite was recovering, she could no longer debar herself from her society, and entered her chamber long before the danger of infection was past."
6,67.frankenstein_de_1211_librivox,00007-frankenstein_6.flac,00007-f000008,0.7523810000000001,Sie wich nicht vom Krankenbette und ihre Liebe siegte über die tückische Krankheit.,The consequences of this im prudence were fatal.
7,67.frankenstein_de_1211_librivox,00007-frankenstein_7.flac,00007-f000009,0.362231,"Elisabeth war gerettet, aber an ihrer Stelle ergriff das Fieber die treue Pflegerin.","On the third day my mother sickened; her fever was very malignant, and the looks of her attendants prognosticated the worst event."
8,67.frankenstein_de_1211_librivox,00007-frankenstein_8.flac,00007-f000010,0.349123,Am dritten Tage mußte sich die Mutter legen.,On her deathbed the forti tude and benignity of this admirable woman did not desert her.
9,67.frankenstein_de_1211_librivox,00007-frankenstein_9.flac,00007-f000011,0.419003,"Bei den ersten beunruhigenden Symptomen wurde der Arzt beigezogen, aus dessen ernstem Antlitz wir das Schlimmste errieten.","She joined the hands of Elizabeth and myself: My children, she said, my firmest hopes of future happiness were placed on the prospect of your union."
10,67.frankenstein_de_1211_librivox,00007-frankenstein_10.flac,00007-f000010,0.477922,Aber selbst auf dem Totenbette blieb diese beste der Frauen tapfer und gütig.,On her deathbed the forti tude and benignity of this admirable woman did not desert her.
11,67.frankenstein_de_1211_librivox,00007-frankenstein_11.flac,00007-f000013,1.03393,Sie legte Elisabeths Hände in die meinen und sagte: Liebe Kinder!,"Elizabeth, my love, you must supply my place to your younger cousins."
12,67.frankenstein_de_1211_librivox,00007-frankenstein_12.flac,00007-f000012,0.55542,"Wie habe ich mich immer gefreut, euch einmal vereinigt zu sehen!",This expectation will now be the consolation of your father.
13,67.frankenstein_de_1211_librivox,00007-frankenstein_13.flac,00007-f000016,0.014363399999999997,"Mir ist es ja wohl nicht mehr beschieden, das zu erleben, aber es soll wenigstens der Trost eures Vaters sein.","But these are not thoughts befitting me; I will endeavour to resign myself cheerfully to death, and will indulge a hope of meeting you in another world."
14,67.frankenstein_de_1211_librivox,00007-frankenstein_14.flac,00007-f000015,0.263514,"Nun mußt du, liebste Elisabeth, meine Stelle bei meinen kleineren Kindern vertreten.","I regret that I am taken from you; and, happy and beloved as I have been, is it not hard to quit you all?"
15,67.frankenstein_de_1211_librivox,00007-frankenstein_15.flac,00007-f000017,0.521092,"Es tut mir weh, von euch gehen zu müssen, von dem Glück, das mir zuteil wurde.",She died calmly; and her countenance expressed affec tion even in death.
16,67.frankenstein_de_1211_librivox,00007-frankenstein_16.flac,00007-f000017,0.356948,"Aber ich will mich nicht diesen Gedanken hingeben; ich will versuchen, dem Tod froh ins Auge zu sehen und mich damit trösten, daß wir uns ja drüben alle wieder sehen werden. Sie starb ruhig und gelassen; selbst der Würger Tod war nicht imstande gewesen, die Liebe aus ihren Zügen zu bannen.",She died calmly; and her countenance expressed affec tion even in death.
17,67.frankenstein_de_1211_librivox,00007-frankenstein_17.flac,00007-f000018,0.650844,"Ich brauche Ihnen wohl nicht zu sagen, wie tief wir alle litten, wie öde es in uns war und welche Traurigkeit auf unseren Gesichtern sich ausdrückte.","I need not describe the feelings of those whose dearest ties are rent by that most irreparable evil, the void that presents itself to the soul, and the despair that is exhibited on the countenance."
18,67.frankenstein_de_1211_librivox,00007-frankenstein_18.flac,00007-f000019,0.611729,"Lange konnten wir es nicht fassen, daß die Frau, die wir alle Tage sahen, nun von uns gegangen sei auf immer, daß ihre lieben Augen uns nun nicht mehr freundlich anblicken, ihre traute Stimme nicht mehr an unser Ohr tönen sollte.","It is so long before the mind can persuade itself that she, whom we saw every day, and whose very existence appeared a part of our own, can have departed for ever — that the brightness of a beloved eye can have been extinguished, and the sound of a voice so famil iar, and dear to the ear, can be hushed, never more to be heard."
19,67.frankenstein_de_1211_librivox,00007-frankenstein_19.flac,00007-f000020,-0.0144,Das sind so die Gedanken der ersten Tage.,"These are the reflections of the first days; but when the lapse of time proves the reality of the evil, then the actual bitterness of grief commences."
20,67.frankenstein_de_1211_librivox,00007-frankenstein_20.flac,00007-f000020,-0.0144,"Wenn dann aber die Zeit in ihrem Laufe uns belehrt, daß wirklich alles so ist, dann beginnt der eigentliche, tiefe Gram.","<MERGE> These are the reflections of the first days; but when the lapse of time proves the reality of the evil, then the actual bitterness of grief commences."
21,67.frankenstein_de_1211_librivox,00007-frankenstein_21.flac,00007-f000021,0.7560680000000001,"Aber wem hat der grausame Tod nicht schon etwas Liebes entrissen und warum soll ich die Schmerzen beschreiben, die jeden schon getroffen haben oder noch treffen müssen?","Yet from whom has not that rude hand rent away some dear connexion; and why should I describe a sorrow which all have felt, and must feel?"
22,67.frankenstein_de_1211_librivox,00007-frankenstein_22.flac,00007-f000022,0.682628,"Schließlich kommt die Zeit, da das Leid stiller wird und da man das Lächeln, das sich auf unsere Lippen schleicht, nicht mehr verbannt, wenn es einem auch vorher undenkbar schien, daß das je noch der Fall sein könnte.","The time at length arrives, when grief is rather an indulgence than a necessity; and the smile that plays upon the lips, although it may be deemed a sacrilege, is not banished."
23,67.frankenstein_de_1211_librivox,00007-frankenstein_23.flac,00007-f000023,0.622941,"Meine Mutter war tot, aber wir hatten Pflichten, die wir erfüllen mußten; wir, die Übriggebliebenen durften uns ja glücklich schätzen, daß der Würger wenigstens von dem einen Opfer seine kalte Hand zurückgezogen hatte.","My mother was dead, but we had still duties which we ought to perform; we must continue our course with the rest, and learn to think ourselves fortunate, whilst one remains whom the spoiler has not seized."
24,67.frankenstein_de_1211_librivox,00007-frankenstein_24.flac,00007-f000024,1.09561,"Für meine Abreise nach Ingolstadt, die durch die Verhältnisse aufgeschoben war, wurde nun ein neuer Zeitpunkt festgesetzt.","My journey to Ingolstadt, which had been deferred by these events, was now again determined upon."
