,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_1.flac,00015-f000001,0.719078,"Um halb neun Uhr am selben Abend wurde Dorian Gray in gewählter Toilette, einen großen Strauß Parmaveilchen im Knopfloch tragend, von den Dienern in den Salon Lady Narboroughs geleitet.","CHAPTER XV THAT evening, at eightthirty, exquisitely dressed and wearing a large buttonhole of Parma violets, Dorian Gray was ushered into Lady Narborough's drawingroom by bowing servants."
1,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_2.flac,00015-f000002,0.692481,"Er hatte wahnsinnige Kopfschmerzen und war furchtbar abgespannt; aber sein Benehmen, als er sich über die Hand seiner Gastgeberin beugte, war so leicht und graziös wie immer.","His forehead was throbbing with maddened nerves, and he felt wildly excited, but his manner as he bent over his hostess's hand was as easy and graceful as ever."
2,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_3.flac,00015-f000003,0.660484,"Vielleicht sieht man nie so ruhig aus, als wenn man eine Rolle zu spielen hat.",Perhaps one never seems so much at one's ease as when one has to play a part.
3,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_4.flac,00015-f000004,0.71939,"Gewiß hätte niemand, der an diesem Abend Dorian Gray sah, geglaubt, daß er eine Tragödie durchgemacht hatte, die so schauderhaft war wie irgendeine unserer Zeit.",Certainly no one looking at Dorian Gray that night could have believed that he had passed through a tragedy as horrible as any tragedy of our age.
4,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_5.flac,00015-f000005,0.508092,"Diese feingeformten Finger, meinte man, hätten nie ein Messer zur Sünde führen, diese lächelnden Lippen nie Gott und den Himmel verwünschen können.","Those finelyshaped fingers could never have clutched a knife for sin, nor those smiling lips have cried out on God and goodness."
5,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_6.flac,00015-f000006,0.737838,Er selbst mußte sich über die Ruhe seiner Haltung verwundern und verspürte einen Augenblick lang in voller Stärke den furchtbaren Genuß eines Doppellebens.,"He himself could not help wondering at the calm of his demeanour, and for a moment felt keenly the terrible pleasure of a double life."
6,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_7.flac,00015-f000007,0.335913,"Es war eine kleine Gesellschaft, die Lady Narborough ziemlich eilig zusammengeladen hatte.","It was a small party, got up rather in a hurry by Lady Narborough, who was a very clever woman, with what Lord Henry used to describe as the re mains of really remarkable ugliness."
7,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_8.flac,00015-f000007,0.335913,Die Lady war eine sehr gescheite Frau mit wie Lord Henry es auszudrücken liebte sehr ansehnlichen Resten einer wirklich bedeutenden Häßlichkeit.,"<MERGE> It was a small party, got up rather in a hurry by Lady Narborough, who was a very clever woman, with what Lord Henry used to describe as the re mains of really remarkable ugliness."
8,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_9.flac,00015-f000008,0.783805,"Sie war einem unserer langweiligsten Botschafter eine treffliche Frau gewesen und widmete sich, nachdem sie ihren Mann, wie sichs gehörte, in einem Marmormausoleum beigesetzt hatte, zu dem sie selbst den Entwurf gezeichnet, und nachdem sie ihre Töchter an reiche, etwas ältliche Herren verheiratet hatte, den Genüssen französischer Romane, französischer Küche und, wenn sie ihn auftreiben konnte, französischen Esprits.","She had proved an excellent wife to one of our most tedious am bassadors, and having buried her husband properly in a marble mausoleum, which she had herself de signed, and married off her daughters to some rich, rather elderly men, she devoted herself now to the pleasures of French fiction, French cookery, and French esprit when she could get it."
9,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_11.flac,00015-f000010,0.5487390000000001,"Ich weiß, mein Lieber, ich hätte mich wahnsinnig in Sie verliebt, sagte sie dann, und hätte um ihretwillen die größten Dummheiten gemacht.",It is most fortunate that you were not thought of at the time.
10,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_12.flac,00015-f000011,0.36708,"Es ist ein großes Glück, daß man damals von Ihnen noch nichts wußte.","As it was, our bonnets were so un becoming, and the mills were so occupied in trying to raise the wind, that I never had even a flirtation with anybody."
11,9.bildnis_dorian_gray_ak_librivox_64kb_mp3,00015-das_bildnis_13.flac,00015-f000011,0.36708,"In unserer Zeit waren die Dummheiten so rar, daß ich nicht einmal eine harmlose Liebschaft hatte.","<MERGE> As it was, our bonnets were so un becoming, and the mills were so occupied in trying to raise the wind, that I never had even a flirtation with anybody."
