book	audio	score	de_sentence	en_sentence
18.undine_1503_librivox	00001-undine_0.flac	0.792494	Es mögen nun wohl schon viele hundert Jahre her sein, da gab es einmal einen alten guten Fischer, der saß eines schönen Abends vor der Tür und flickte seine Netze.	There was once, it may be now many hundred years ago, a good old fisherman, who was sitting one fine evening before his door, mending his nets.
18.undine_1503_librivox	00001-undine_1.flac	0.563566	Er wohnte aber in einer überaus anmutigen Gegend.	The part of the country in which he lived was extremely pretty.
18.undine_1503_librivox	00001-undine_10.flac	0.638462	Ja, als er die Augen nach dem Walde aufhob, kam es ihm ganz eigentlich vor, als sehe er durch das Laubgegitter den nickenden Mann hervorkommen.	Indeed, when he raised his eyes toward the wood it seemed to him as if he actually saw the nodding man approaching through the dense foliage.
18.undine_1503_librivox	00001-undine_11.flac	0.688831	Er nahm sich aber bald zusammen, erwägend, wie ihm doch niemals in dem Walde selbsten was Bedenkliches widerfahren sei und also auf der freien Landzunge der böse Geist wohl noch minder Gewalt über ihn ausüben dürfe.	He soon, however, reassured himself, reflecting that nothing serious had ever befallen him even in the forest itself, and that upon this open tongue of land the evil spirit would be still less daring in the exercise of his power.
18.undine_1503_librivox	00001-undine_12.flac	0.658893	Zugleich betete er recht kräftiglich einen biblischen Spruch laut aus dem Herzen heraus, wodurch ihm der kecke Mut auch zurückekam und er fast lachend sah, wie sehr er sich geirrt hatte.	At the same time he repeated aloud a text from the Bible with all his heart, and this so inspired him with courage that he almost smiled at the illusion he had allowed to possess him.
18.undine_1503_librivox	00001-undine_13.flac	0.5003	Der weiße, nickende Mann ward nämlich urplötzlich zu einem ihm längst wohlbekannten Bächlein, das schäumend aus dem Forste hervorrann und sich in den Landsee ergoß.	The white nodding man was suddenly transformed into a brook long familiar to him, which ran foaming from the forest and discharged itself into the lake.
18.undine_1503_librivox	00001-undine_14.flac	0.511283	Wer aber das Geräusch verursacht hatte, war ein schön geschmückter Ritter, der zu Roß durch den Baumschatten gegen die Hütte vorgeritten kam.	The noise, however, which he had heard, was caused by a knight beautifully apparelled, who, emerging from the deep shadows of the wood, came riding toward the cottage.
18.undine_1503_librivox	00001-undine_15.flac	0.731624	Ein scharlachroter Mantel hing ihm über sein veilchenblaues goldgesticktes Wams herab; von dem goldfarbigen Barette wallten rote und veilchenblaue Federn, am goldnen Wehrgehenke blitzte ein ausnehmend schönes und reichverziertes Schwert.	A scarlet mantle was thrown over his purple goldembroidered doublet; a red and violet plume waved from his goldencolored headgear; and a beautifully and richly ornamented sword flashed from his shoulderbelt.
18.undine_1503_librivox	00001-undine_16.flac	0.578351	Der weiße Hengst, der den Ritter trug, war schlankeren Baues, als man es sonst bei Streitrossen zu sehen gewohnt ist, und trat so leicht über den Rasen hin, daß dieser grünbunte Teppich auch nicht die mindeste Verletzung davon zu empfangen schien.	The white steed that bore the knight was more slenderly formed than warhorses generally are, and he stepped so lightly over the turf that this green and flowery carpet seemed scarcely to receive the slightest injury from his tread.
18.undine_1503_librivox	00001-undine_17.flac	0.632018	Dem alten Fischer war es noch immer nicht ganz geheuer zumut, obwohl er einzusehn meinte, daß von einer so holden Erscheinung nichts Übles zu befahren sei, weshalb er auch seinen Hut ganz sittig vor dem näherkommenden Herrn abzog und gelassen bei seinen Netzen verblieb.	The old fisherman did not, however, feel perfectly secure in his mind, although he tried to convince himself that no evil was to be feared from so graceful an apparition; and therefore he politely took off his hat as the knight approached, and remained quietly with his nets.
18.undine_1503_librivox	00001-undine_18.flac	0.407751	Da hielt der Ritter stille und fragte, ob er wohl mit seinem Pferde auf diese Nacht hier Unterkommen und Pflege finden könne?	Presently the stranger drew up, and inquired whether he and his horse could have shelter and care for the night.
18.undine_1503_librivox	00001-undine_19.flac	0.597067	Was Euer Pferd betrifft, lieber Herr, entgegnete der Fischer, so weiß ich ihm keinen bessern Stall anzuweisen als diese beschattete Wiese und kein besseres Futter als das Gras, welches darauf wächst.	I can assign him no better stable than this shady pasture, and no better provender than the grass growing on it.
